,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2018-11-19 00:00:00+00:00,9433.96,2818.37,779.91,103.15,19.55,13.58,19.55,13.58
1,2018-11-20 00:00:00+00:00,6964.11,2063.79,552.13,72.44,13.3,9.36,13.3,9.36
2,2018-11-21 00:00:00+00:00,,,,,,,,
3,2018-11-22 00:00:00+00:00,,,,,,,,
4,2018-11-23 00:00:00+00:00,,,,,,,,
5,2018-11-24 00:00:00+00:00,,,,,,,,
6,2018-11-25 00:00:00+00:00,,,,,,,,
7,2018-11-26 00:00:00+00:00,,,,,,,,
8,2018-11-27 00:00:00+00:00,,,,,,,,
9,2018-11-28 00:00:00+00:00,,,,,,,,
10,2018-11-29 00:00:00+00:00,,,,,,,,
11,2018-11-30 00:00:00+00:00,,,,,,,,
12,2018-12-01 00:00:00+00:00,,,,,,,,
13,2018-12-02 00:00:00+00:00,,,,,,,,
14,2018-12-03 00:00:00+00:00,,,,,,,,
15,2018-12-04 00:00:00+00:00,,,,,,,,
16,2018-12-05 00:00:00+00:00,,,,,,,,
17,2018-12-06 00:00:00+00:00,739.47,202.23,16.93,1.07,0.35,0.32,0.35,0.32
18,2018-12-07 00:00:00+00:00,2224.12,589.53,44.85,3.17,0.73,0.58,0.73,0.58
19,2018-12-08 00:00:00+00:00,2945.95,770.76,81.36,5.59,1.08,0.81,1.08,0.81
20,2018-12-09 00:00:00+00:00,3415.97,916.71,138.54,11.04,1.74,1.25,1.74,1.25
21,2018-12-10 00:00:00+00:00,4829.27,1324.24,238.14,24.32,4.05,2.83,4.05,2.83
22,2018-12-11 00:00:00+00:00,3455.39,895.74,117.67,10.01,1.7,1.25,1.7,1.25
23,2018-12-12 00:00:00+00:00,2240.91,564.74,65.07,5.11,0.96,0.72,0.96,0.72
24,2018-12-13 00:00:00+00:00,1721.03,429.74,46.86,3.54,0.78,0.63,0.78,0.63
25,2018-12-14 00:00:00+00:00,2027.73,514.74,47.66,3.86,0.86,0.67,0.86,0.67
26,2018-12-15 00:00:00+00:00,1873.7,444.17,25.97,2.77,0.78,0.62,0.78,0.62
27,2018-12-16 00:00:00+00:00,1932.4,447.42,24.78,2.49,0.71,0.57,0.71,0.57
28,2018-12-17 00:00:00+00:00,1228.21,230.97,7.6,1.01,0.4,0.37,0.4,0.37
29,2018-12-18 00:00:00+00:00,1807.95,443.82,22.9,2.31,0.63,0.53,0.63,0.53
30,2018-12-19 00:00:00+00:00,1436.54,373.12,50.17,4.52,0.98,0.75,0.98,0.75
31,2018-12-20 00:00:00+00:00,2967.19,773.19,80.26,7.17,1.32,0.96,1.32,0.96
32,2018-12-21 00:00:00+00:00,2777.65,639.43,111.42,10.2,1.69,1.23,1.69,1.23
33,2018-12-22 00:00:00+00:00,1953.39,472.17,62.6,4.71,0.86,0.66,0.86,0.66
34,2018-12-23 00:00:00+00:00,1241.97,256.29,21.45,1.87,0.55,0.49,0.67,0.69
35,2018-12-24 00:00:00+00:00,971.74,228.43,18.02,1.57,0.5,0.42,3.23,4.47
36,2018-12-25 00:00:00+00:00,1234.12,249.35,23.12,2.74,0.74,0.6,3.7,5.51
37,2018-12-26 00:00:00+00:00,984.34,237.54,22.99,2.36,0.64,0.52,3.39,5.29
38,2018-12-27 00:00:00+00:00,2826.55,619.9,25.66,2.25,0.61,0.51,8.21,10.78
39,2018-12-28 00:00:00+00:00,1192.51,272.95,10.79,0.98,0.39,0.34,3.45,4.25
40,2018-12-29 00:00:00+00:00,855.15,208.1,20.27,1.98,0.57,0.48,2.99,4.75
41,2018-12-30 00:00:00+00:00,3657.44,864.96,65.97,4.84,0.97,0.75,13.4,19.37
42,2018-12-31 00:00:00+00:00,,,,,,,,
43,2019-01-01 00:00:00+00:00,630.79,151.84,15.23,1.49,0.47,0.4,2.06,3.28
44,2019-01-02 00:00:00+00:00,1101.52,288.97,37.84,3.44,0.83,0.67,5.03,8.3
45,2019-01-03 00:00:00+00:00,1693.32,451.98,57.75,4.85,1.03,0.79,7.86,12.5
46,2019-01-04 00:00:00+00:00,1882.78,506.04,51.49,4.06,0.88,0.7,8.45,12.53
47,2019-01-05 00:00:00+00:00,1240.73,242.34,13.48,1.29,0.45,0.41,3.22,4.38
48,2019-01-06 00:00:00+00:00,536.59,123.99,20.31,2.62,0.75,0.61,1.61,3.45
49,2019-01-07 00:00:00+00:00,582.65,104.82,10.87,1.49,0.53,0.44,1.2,2.06
50,2019-01-08 00:00:00+00:00,1197.66,280.52,16.76,1.81,0.56,0.47,3.77,5.28
51,2019-01-09 00:00:00+00:00,1951.93,505.14,13.1,1.66,0.55,0.47,6.0,7.71
52,2019-01-10 00:00:00+00:00,3268.63,842.43,19.64,2.12,0.6,0.51,10.05,13.0
53,2019-01-11 00:00:00+00:00,834.25,190.51,20.95,1.87,0.54,0.45,2.72,4.21
54,2019-01-12 00:00:00+00:00,1031.8,187.35,10.59,1.0,0.4,0.36,2.35,3.17
55,2019-01-13 00:00:00+00:00,1308.82,281.16,12.15,1.15,0.42,0.38,3.49,4.73
56,2019-01-14 00:00:00+00:00,1671.22,416.96,37.74,2.87,0.65,0.54,6.58,9.37
57,2019-01-15 00:00:00+00:00,2137.1,519.84,7.66,0.72,0.34,0.31,6.03,8.17
58,2019-01-16 00:00:00+00:00,5204.57,1233.63,8.43,0.62,0.29,0.28,15.34,18.41
59,2019-01-17 00:00:00+00:00,672.84,93.23,12.35,1.93,0.58,0.48,0.67,1.81
60,2019-01-18 00:00:00+00:00,1568.32,353.02,31.76,4.03,1.04,0.81,4.72,8.02
61,2019-01-19 00:00:00+00:00,4740.73,815.87,27.15,2.27,0.61,0.5,10.58,14.41
62,2019-01-20 00:00:00+00:00,3399.74,636.27,21.91,1.83,0.55,0.45,8.73,11.36
63,2019-01-21 00:00:00+00:00,1117.32,234.03,12.87,1.5,0.51,0.42,3.21,4.37
64,2019-01-22 00:00:00+00:00,1019.01,239.56,19.21,1.59,0.48,0.41,3.45,4.97
65,2019-01-23 00:00:00+00:00,1234.44,309.5,24.98,2.01,0.53,0.45,4.5,6.47
66,2019-01-24 00:00:00+00:00,1435.18,326.67,26.49,2.04,0.54,0.45,4.87,6.94
67,2019-01-25 00:00:00+00:00,1632.27,446.3,58.61,4.51,0.92,0.71,7.66,11.82
68,2019-01-26 00:00:00+00:00,1422.98,384.94,39.32,3.09,0.71,0.56,6.24,9.02
69,2019-01-27 00:00:00+00:00,2614.71,703.69,76.93,5.36,1.01,0.77,11.32,17.06
70,2019-01-28 00:00:00+00:00,2049.45,544.28,62.83,4.15,0.82,0.63,9.59,13.64
71,2019-01-29 00:00:00+00:00,2352.89,621.02,72.73,5.08,1.0,0.76,10.65,15.59
72,2019-01-30 00:00:00+00:00,1517.38,398.97,52.14,3.79,0.81,0.62,6.86,10.31
73,2019-01-31 00:00:00+00:00,2403.51,605.72,37.82,2.37,0.55,0.43,8.65,11.98
74,2019-02-01 00:00:00+00:00,2518.53,521.54,16.79,1.24,0.41,0.35,6.75,8.56
75,2019-02-02 00:00:00+00:00,1631.41,370.61,8.92,1.21,0.46,0.39,4.14,5.23
76,2019-02-03 00:00:00+00:00,2542.61,613.48,6.54,0.95,0.4,0.35,7.31,8.77
77,2019-02-04 00:00:00+00:00,242.05,48.43,4.29,0.79,0.38,0.35,0.52,0.79
78,2019-02-05 00:00:00+00:00,917.31,175.38,5.7,0.76,0.36,0.34,2.38,2.96
79,2019-02-06 00:00:00+00:00,793.21,209.38,26.11,2.33,0.62,0.52,3.33,5.47
80,2019-02-07 00:00:00+00:00,1264.13,299.52,20.19,1.71,0.5,0.43,4.2,6.08
81,2019-02-08 00:00:00+00:00,1253.85,273.85,18.22,1.58,0.49,0.42,3.85,5.45
82,2019-02-09 00:00:00+00:00,660.63,140.12,9.75,0.87,0.36,0.34,1.9,2.48
83,2019-02-10 00:00:00+00:00,2269.42,531.33,7.35,0.95,0.39,0.35,7.8,7.69
