,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2019-11-05 00:00:00+00:00,3277.74,1014.61,474.28,127.28,54.31,41.13,10.98,63.11
1,2019-11-06 00:00:00+00:00,2412.34,742.56,320.08,81.4,31.14,23.62,8.44,41.0
2,2019-11-07 00:00:00+00:00,,,,,,,,
3,2019-11-08 00:00:00+00:00,,,,,,,,
4,2019-11-09 00:00:00+00:00,,,,,,,,
5,2019-11-10 00:00:00+00:00,,,,,,,,
6,2019-11-11 00:00:00+00:00,,,,,,,,
7,2019-11-12 00:00:00+00:00,,,,,,,,
8,2019-11-13 00:00:00+00:00,,,,,,,,
9,2019-11-14 00:00:00+00:00,,,,,,,,
10,2019-11-15 00:00:00+00:00,,,,,,,,
11,2019-11-16 00:00:00+00:00,,,,,,,,
12,2019-11-17 00:00:00+00:00,,,,,,,,
13,2019-11-18 00:00:00+00:00,,,,,,,,
14,2019-11-19 00:00:00+00:00,,,,,,,,
15,2019-11-20 00:00:00+00:00,212.62,61.16,15.61,3.44,1.47,1.23,0.19,2.26
16,2019-11-21 00:00:00+00:00,824.51,235.52,49.74,9.5,3.53,2.77,3.37,9.39
17,2019-11-22 00:00:00+00:00,620.02,178.37,39.33,7.32,2.81,2.14,2.36,7.03
18,2019-11-23 00:00:00+00:00,987.44,280.84,48.94,6.41,2.05,1.55,4.55,8.97
19,2019-11-24 00:00:00+00:00,1061.84,301.55,47.74,4.39,1.01,0.7,5.08,8.45
20,2019-11-25 00:00:00+00:00,804.69,229.91,41.79,5.5,1.77,1.32,3.54,7.31
21,2019-11-26 00:00:00+00:00,211.77,61.6,16.93,3.75,1.47,1.14,0.21,2.39
22,2019-11-27 00:00:00+00:00,72.74,21.1,5.17,0.84,0.28,0.21,0.0,0.23
23,2019-11-28 00:00:00+00:00,162.04,45.92,8.24,0.91,0.24,0.18,0.16,0.68
24,2019-11-29 00:00:00+00:00,363.33,101.94,14.83,1.36,0.38,0.27,1.08,2.11
25,2019-11-30 00:00:00+00:00,475.14,134.69,22.41,2.59,0.74,0.53,1.84,3.89
26,2019-12-01 00:00:00+00:00,97.84,27.8,4.72,0.56,0.17,0.13,0.01,0.26
27,2019-12-02 00:00:00+00:00,141.55,40.2,7.33,0.84,0.27,0.2,0.05,0.55
28,2019-12-03 00:00:00+00:00,946.66,273.72,57.09,5.27,1.01,0.7,4.54,8.65
29,2019-12-04 00:00:00+00:00,1304.36,376.54,74.87,7.08,1.31,0.91,6.64,11.93
30,2019-12-05 00:00:00+00:00,1358.51,398.19,100.46,10.98,1.87,1.31,6.87,14.58
31,2019-12-06 00:00:00+00:00,212.07,59.84,10.49,1.34,0.48,0.37,0.34,1.18
32,2019-12-07 00:00:00+00:00,109.75,31.73,7.59,1.36,0.55,0.44,0.04,0.72
33,2019-12-08 00:00:00+00:00,285.08,82.59,19.15,2.72,0.93,0.71,0.64,2.45
34,2019-12-09 00:00:00+00:00,1004.13,292.25,68.33,7.68,1.6,1.13,4.8,10.25
35,2019-12-10 00:00:00+00:00,1318.04,383.23,83.76,8.01,1.46,0.99,6.74,12.72
36,2019-12-11 00:00:00+00:00,910.01,263.48,55.72,5.74,1.05,0.73,4.39,8.47
37,2019-12-12 00:00:00+00:00,204.05,57.57,9.98,1.11,0.34,0.25,0.38,1.09
38,2019-12-13 00:00:00+00:00,1159.5,344.06,102.71,16.13,4.01,2.9,5.44,15.55
39,2019-12-14 00:00:00+00:00,485.84,141.19,33.91,5.31,1.68,1.24,1.89,5.24
40,2019-12-15 00:00:00+00:00,136.38,39.78,11.36,2.58,0.96,0.74,0.07,1.43
41,2019-12-16 00:00:00+00:00,346.52,98.78,19.32,3.06,1.01,0.74,1.0,3.04
42,2019-12-17 00:00:00+00:00,760.52,216.9,40.01,6.02,1.74,1.2,3.39,7.23
43,2019-12-18 00:00:00+00:00,420.45,119.69,22.16,3.11,0.96,0.7,1.55,3.59
44,2019-12-19 00:00:00+00:00,378.45,108.89,22.74,3.26,0.98,0.73,1.29,3.39
45,2019-12-20 00:00:00+00:00,580.95,166.64,33.35,4.14,1.15,0.83,2.35,5.22
46,2019-12-21 00:00:00+00:00,1307.92,378.23,85.62,13.89,3.14,2.22,6.67,15.51
47,2019-12-22 00:00:00+00:00,298.67,85.01,16.93,2.84,0.96,0.73,0.88,2.61
48,2019-12-23 00:00:00+00:00,514.98,147.99,31.0,5.01,1.31,0.92,2.1,5.25
49,2019-12-24 00:00:00+00:00,302.92,86.15,16.67,2.67,0.88,0.64,0.85,2.57
50,2019-12-25 00:00:00+00:00,406.03,116.2,21.73,2.83,0.8,0.56,1.41,3.37
51,2019-12-26 00:00:00+00:00,355.03,100.24,16.01,1.66,0.44,0.32,1.14,2.33
52,2019-12-27 00:00:00+00:00,320.21,90.85,16.88,2.45,0.78,0.57,0.84,2.51
53,2019-12-28 00:00:00+00:00,772.75,221.94,44.6,6.61,1.69,1.15,3.43,7.71
54,2019-12-29 00:00:00+00:00,827.82,236.86,46.38,7.18,2.01,1.42,3.82,8.56
55,2019-12-30 00:00:00+00:00,2102.93,610.23,135.11,16.09,2.35,1.6,10.94,22.02
56,2019-12-31 00:00:00+00:00,385.63,108.84,17.76,2.03,0.56,0.38,1.25,2.72
57,2020-01-01 00:00:00+00:00,677.53,193.39,36.15,5.14,1.53,1.12,2.89,6.39
58,2020-01-02 00:00:00+00:00,563.08,164.12,40.24,5.69,1.72,1.26,2.26,6.07
59,2020-01-03 00:00:00+00:00,513.23,146.82,29.31,4.47,1.37,1.01,1.92,4.87
60,2020-01-04 00:00:00+00:00,844.53,242.45,48.05,6.86,1.81,1.29,3.91,8.65
61,2020-01-05 00:00:00+00:00,481.46,137.99,29.04,4.85,1.54,1.15,1.8,4.94
62,2020-01-06 00:00:00+00:00,282.79,80.69,16.35,2.61,0.9,0.68,0.62,2.33
63,2020-01-07 00:00:00+00:00,768.79,218.44,37.78,4.48,1.08,0.77,3.43,6.53
64,2020-01-08 00:00:00+00:00,287.21,82.42,17.71,2.91,0.98,0.75,0.78,2.58
65,2020-01-09 00:00:00+00:00,373.92,108.11,24.27,3.95,1.23,0.9,1.27,3.69
66,2020-01-10 00:00:00+00:00,496.99,141.9,26.81,3.45,0.91,0.66,1.9,4.32
67,2020-01-11 00:00:00+00:00,458.92,132.19,29.3,5.03,1.62,1.21,1.65,4.82
68,2020-01-12 00:00:00+00:00,317.64,91.94,22.75,4.63,1.64,1.23,0.87,3.78
69,2020-01-13 00:00:00+00:00,272.62,78.12,16.72,2.78,0.94,0.69,0.72,2.42
70,2020-01-14 00:00:00+00:00,181.83,52.97,14.86,3.32,1.31,1.0,0.25,2.15
71,2020-01-15 00:00:00+00:00,279.74,80.95,19.94,4.0,1.44,1.09,0.64,3.14
72,2020-01-16 00:00:00+00:00,337.02,96.92,21.07,3.74,1.22,0.9,1.16,3.46
73,2020-01-17 00:00:00+00:00,358.0,101.94,19.16,2.72,0.85,0.62,1.21,3.05
74,2020-01-18 00:00:00+00:00,806.83,231.72,47.2,5.91,1.34,0.95,3.72,7.99
75,2020-01-19 00:00:00+00:00,602.11,171.21,29.59,3.08,0.78,0.55,2.5,4.81
76,2020-01-20 00:00:00+00:00,1691.68,488.38,103.97,13.85,2.47,1.69,8.79,17.89
77,2020-01-21 00:00:00+00:00,411.2,116.39,19.41,2.46,0.75,0.53,1.43,3.1
78,2020-01-22 00:00:00+00:00,170.11,48.74,9.64,0.96,0.25,0.18,0.36,0.98
79,2020-01-23 00:00:00+00:00,1147.92,330.66,67.22,7.61,1.52,1.08,5.65,11.0
80,2020-01-24 00:00:00+00:00,1011.74,291.0,59.51,7.05,1.53,1.08,4.88,9.83
81,2020-01-25 00:00:00+00:00,655.79,190.38,46.63,7.25,2.16,1.62,2.68,7.38
82,2020-01-26 00:00:00+00:00,553.58,159.55,34.98,4.64,1.38,1.04,2.17,5.31
83,2020-01-27 00:00:00+00:00,351.68,101.82,25.9,5.46,2.05,1.59,0.98,4.31
84,2020-01-28 00:00:00+00:00,297.59,86.17,20.96,4.35,1.62,1.24,0.75,3.35
85,2020-01-29 00:00:00+00:00,473.75,137.97,36.51,8.09,2.97,2.29,1.62,6.61
86,2020-01-30 00:00:00+00:00,646.66,187.48,45.06,7.87,2.49,1.9,2.66,7.61
87,2020-01-31 00:00:00+00:00,856.89,245.62,48.83,5.78,1.37,0.96,3.91,7.91
88,2020-02-01 00:00:00+00:00,2643.03,760.96,155.35,18.28,2.96,2.0,13.74,26.33
89,2020-02-02 00:00:00+00:00,2166.88,627.23,137.86,19.01,3.45,2.41,11.46,23.72
90,2020-02-03 00:00:00+00:00,140.0,40.56,10.49,2.16,0.82,0.62,0.08,1.27
91,2020-02-04 00:00:00+00:00,125.15,35.56,6.98,1.11,0.36,0.25,0.09,0.64
92,2020-02-05 00:00:00+00:00,312.23,88.86,17.37,2.83,0.9,0.64,0.93,2.8
93,2020-02-06 00:00:00+00:00,532.61,150.77,27.05,4.12,1.36,1.0,1.98,4.73
94,2020-02-07 00:00:00+00:00,1224.42,347.05,58.37,7.54,1.92,1.41,6.0,11.16
95,2020-02-08 00:00:00+00:00,1660.5,480.88,108.66,16.66,3.64,2.59,8.51,19.1
96,2020-02-09 00:00:00+00:00,437.69,125.4,25.8,4.13,1.27,0.95,1.9,4.48
97,2020-02-10 00:00:00+00:00,102.76,29.07,5.45,0.84,0.3,0.22,0.01,0.36
98,2020-02-11 00:00:00+00:00,281.52,79.93,14.98,1.99,0.57,0.4,0.65,1.97
99,2020-02-12 00:00:00+00:00,340.01,95.87,16.64,2.07,0.61,0.46,0.91,2.36
100,2020-02-13 00:00:00+00:00,914.2,261.73,52.14,8.03,2.46,1.81,4.2,9.61
101,2020-02-14 00:00:00+00:00,996.09,286.4,56.63,7.61,2.3,1.73,4.78,9.9
102,2020-02-15 00:00:00+00:00,1252.73,359.02,68.15,9.12,2.52,1.86,6.32,12.77
103,2020-02-16 00:00:00+00:00,640.51,184.46,41.2,7.49,2.52,1.91,2.61,7.34
104,2020-02-17 00:00:00+00:00,452.25,130.01,28.4,4.55,1.5,1.11,1.56,4.55
105,2020-02-18 00:00:00+00:00,494.51,141.64,27.68,3.56,1.0,0.69,1.82,4.27
106,2020-02-19 00:00:00+00:00,732.33,210.54,45.3,7.04,2.13,1.56,3.14,7.95
107,2020-02-20 00:00:00+00:00,980.88,280.68,55.5,7.53,2.05,1.51,4.6,9.91
108,2020-02-21 00:00:00+00:00,1495.42,424.53,72.31,8.11,1.77,1.22,7.73,13.6
109,2020-02-22 00:00:00+00:00,1148.73,327.74,58.61,7.37,1.98,1.42,5.52,10.5
110,2020-02-23 00:00:00+00:00,451.48,130.02,29.39,5.16,1.74,1.32,1.61,4.91
111,2020-02-24 00:00:00+00:00,579.58,166.38,34.94,5.43,1.67,1.23,2.3,5.8
112,2020-02-25 00:00:00+00:00,297.57,84.8,17.33,2.8,0.98,0.72,0.71,2.54
113,2020-02-26 00:00:00+00:00,349.58,98.52,17.72,2.56,0.91,0.66,0.94,2.68
114,2020-02-27 00:00:00+00:00,1122.9,318.51,55.74,6.72,1.71,1.23,5.4,10.14
115,2020-02-28 00:00:00+00:00,1835.54,520.87,85.79,8.86,1.92,1.36,9.59,15.92
116,2020-02-29 00:00:00+00:00,1121.24,322.5,65.1,9.4,2.88,2.15,5.46,11.66
117,2020-03-01 00:00:00+00:00,331.73,96.88,27.69,6.31,2.41,1.83,0.86,4.66
118,2020-03-02 00:00:00+00:00,182.0,51.68,9.9,1.38,0.43,0.3,0.42,1.15
119,2020-03-03 00:00:00+00:00,355.74,100.04,15.73,1.88,0.54,0.39,1.05,2.33
120,2020-03-04 00:00:00+00:00,523.2,148.34,28.89,4.59,1.57,1.17,1.91,4.9
121,2020-03-05 00:00:00+00:00,1564.72,450.6,99.01,14.38,3.85,2.9,7.92,17.23
122,2020-03-06 00:00:00+00:00,694.17,198.59,38.95,5.62,1.94,1.47,2.89,6.68
123,2020-03-07 00:00:00+00:00,66.72,19.05,3.83,0.53,0.2,0.15,0.02,0.22
124,2020-03-08 00:00:00+00:00,322.39,91.49,15.86,1.63,0.39,0.27,1.04,2.16
125,2020-03-09 00:00:00+00:00,282.03,80.04,14.77,1.74,0.5,0.35,0.65,1.83
126,2020-03-10 00:00:00+00:00,467.49,130.98,18.92,1.72,0.48,0.33,1.61,2.97
127,2020-03-11 00:00:00+00:00,419.82,117.65,18.0,1.77,0.52,0.37,1.32,2.67
128,2020-03-12 00:00:00+00:00,686.95,198.33,45.62,7.42,2.17,1.62,2.86,7.51
129,2020-03-13 00:00:00+00:00,860.74,248.18,54.32,8.33,2.47,1.83,3.88,9.23
130,2020-03-14 00:00:00+00:00,365.45,105.72,25.95,4.95,1.74,1.32,1.27,4.25
131,2020-03-15 00:00:00+00:00,221.64,63.27,12.2,1.68,0.54,0.4,0.63,1.63
132,2020-03-16 00:00:00+00:00,205.28,58.43,11.28,1.38,0.43,0.31,0.31,1.24
133,2020-03-17 00:00:00+00:00,249.82,70.85,12.9,1.59,0.48,0.35,0.51,1.63
134,2020-03-18 00:00:00+00:00,192.76,54.36,9.41,1.15,0.37,0.27,0.29,1.03
135,2020-03-19 00:00:00+00:00,460.94,132.16,26.4,4.01,1.32,0.99,1.63,4.28
136,2020-03-20 00:00:00+00:00,488.44,139.41,26.23,3.38,1.05,0.79,1.79,4.14
137,2020-03-21 00:00:00+00:00,500.38,141.18,22.75,2.42,0.69,0.48,1.85,3.63
138,2020-03-22 00:00:00+00:00,554.47,156.13,24.78,2.63,0.67,0.48,2.14,4.03
