id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
14633,,37.275561,-121.964134, Hazelwood canary ,outside,3.07,102.0,38.88888888888889,8.0,1008.09,,,,,,,,,,,,,2020-10-15 20:31:04,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,3.34,3.02,2.62,3.85,6.66,21.7
25999,,30.053808,-95.494643, Villages of Bridgestone AQI,outside,16.16,97.0,36.111111111111114,40.0,1006.84,,,,,,,,,,,,,2020-10-15 20:30:24,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,15.75,15.3,15.21,18.48,18.74,17.81
14091,,37.88362,-122.070087, WC Hillside,outside,0.91,92.0,33.333333333333336,11.0,1003.22,,,,,,,,,,,,,2020-10-15 20:31:09,PMS5003+PMS5003+BME280,,,False,True,False,0,,,,,,,False,1.09,1.18,1.31,2.91,5.9,28.49
42073,,47.185173,-122.176855,#1,outside,6.47,64.0,17.77777777777778,50.0,1013.89,,,,,,,,,,,,,2020-10-15 20:30:42,PMS5003+PMS5003+BME280,,,False,True,False,0,,,,,,,False,6.21,5.46,4.97,3.57,3.36,18.67
53069,,47.190197,-122.177992,#2,outside,6.66,77.0,25.0,33.0,1013.72,,,,,,,,,,,,,2020-10-15 20:30:44,PMS5003+PMS5003+BME280,,,False,True,False,0,,,,,,,False,5.84,5.15,4.73,3.49,3.31,19.81
22751,,36.807377,-119.796109,#ValleyClimate,outside,31.98,91.0,32.77777777777778,26.0,1005.72,,,,,,,,,,,,,2020-10-15 20:31:26,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,30.13,29.47,31.13,32.71,27.41,46.0
2492,,42.714377,-73.202118,'66 Envi Center,outside,6666.0,84.0,28.88888888888889,28.0,987.15,,,,,,,,,,,,,2020-10-15 20:30:14,PMS5003+PMS5003+BME280,,,False,True,False,1,,,,,,,False,7.15,7.61,8.11,12.46,14.87,10.6
30755,,36.737668,-119.778839,'S' St Between Inyo and Mono,outside,26.62,104.0,40.0,15.0,1005.52,,,,,,,,,,,,,2020-10-15 20:30:21,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,25.71,24.66,27.99,32.21,25.4,35.54
26941,,29.957206,-90.021706,(Indoor)The Lower 9th Ward Center for Sustainable Engagement and Development,inside,13.54,90.0,32.22222222222222,39.0,1014.98,,,,,,,,,,,,,2020-10-15 20:30:20,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,12.16,12.6,12.78,10.27,9.35,8.08
18943,,37.78603,-122.393926,(Indoors) Lansing St,inside,1.33,88.0,31.111111111111114,27.0,1006.09,,,,,,,,,,,,,2020-10-15 20:30:46,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,1.73,1.9,2.23,3.07,2.59,2.81
71861,,37.304252,-121.895133,(Private Residence) Settle Ave,inside,19.66,88.0,31.111111111111114,26.0,1011.73,,,,,,,,,,,,,2020-10-15 20:30:54,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,19.82,16.34,12.11,7.07,14.3,7.74
44563,,34.10921,-117.634656,003 FK Parking Lot,outside,10.76,108.0,42.22222222222222,5.0,967.63,,,,,,,,,,,,,2020-10-15 20:30:43,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,11.24,14.11,17.76,20.7,19.77,28.74
44577,,34.109474,-117.635981,005- FK Shelby Forest,outside,0.0,100.0,37.77777777777778,13.0,969.34,,,,,,,,,,,,,2020-10-15 18:43:06,PMS5003+PMS5003+BME280,,,False,False,False,108,,,,,,,False,0.0,0.0,0.0,0.0,0.0,2.43
51819,,55.820716,-4.072659,01,outside,8.23,55.0,12.777777777777779,51.0,1027.18,,,,,,,,,,,,,2020-10-15 20:29:52,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,7.61,5.75,4.73,3.3,2.64,3.85
51713,,55.820764,-4.072763,02,outside,6.92,56.0,13.333333333333334,52.0,1027.22,,,,,,,,,,,,,2020-10-15 20:30:49,PMS5003+PMS5003+BME280,,,False,True,False,0,,,,,,,False,7.06,5.38,4.4,3.03,2.29,3.46
64797,,37.788488,-122.263106,1 5th Avenue Marina Bldg 28 @ El 9 Ft,outside,0.42,99.0,37.22222222222222,6.0,1015.75,,,,,,,,,,,,,2020-10-15 20:31:22,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,2.3,3.13,3.47,7.45,10.14,22.01
76111,,37.850892,-122.487404,1 Channing,inside,0.73,88.0,31.111111111111114,20.0,998.71,,,,,,,,,,,,,2020-10-15 20:30:33,PMS5003+PMS5003+BME280,,,False,True,False,1,,,,,,,False,1.47,1.38,1.33,1.4,2.16,1.63
69629,,38.223993,-122.659176,1 Iverson Way,outside,2.75,100.0,37.77777777777778,8.0,1006.33,,,,,,,,,,,,,2020-10-15 20:30:09,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.96,5.65,11.79,17.55,10.34,14.53
72039,,37.792405,-122.397797,1 Pine Street,inside,0.8,92.0,33.333333333333336,21.0,1006.11,,,,,,,,,,,,,2020-10-15 20:31:12,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,1.71,2.06,2.45,4.22,4.74,7.58
12248,,47.402972,8.613296,1 Ueberlandstrasse 129,outside,9.63,55.0,12.777777777777779,57.0,964.17,,,,,,,,,,,,,2020-10-15 20:29:57,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,9.58,8.74,7.57,7.66,10.39,10.15
10808,,40.507316,-111.899188,1-800 Contacts,outside,0.75,70.0,21.11111111111111,14.0,877.09,,,,,,,,,,,,,2020-10-15 20:30:02,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.48,0.5,0.71,1.2,3.11,14.24
67357,,37.38472,-122.20407,10 Alhambra Ct. Portola Valley,outside,3.36,89.0,31.666666666666668,10.0,989.47,,,,,,,,,,,,,2020-10-15 20:30:25,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,3.18,2.56,2.29,3.25,5.61,13.92
11570,,43.235435,-79.863272,10,outside,0.0,90.0,32.22222222222222,34.0,855.94,,,,,,,,,,,,,2020-09-30 11:39:59,PMS5003+PMS5003+BME280,,,False,False,True,22131,,,,,,,False,0.0,0.0,0.04,7.78,16.16,14.18
24709,,34.167005,-118.03768,10,outside,15.44,105.0,40.55555555555556,9.0,987.55,,,,,,,,,,,,,2020-10-15 20:31:25,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,18.65,19.37,18.41,17.91,18.64,39.25
37569,,40.771884,-73.990025,10 West End Avenue,inside,2.93,82.0,27.77777777777778,35.0,1009.81,,,,,,,,,,,,,2020-10-15 20:30:43,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,3.22,3.64,3.84,4.65,6.26,5.44
24993,,45.434752,-75.694492,100 Boteler,inside,1.74,88.0,31.111111111111114,23.0,1028.66,,,,,,,,,,,,,2020-09-20 15:13:00,PMS5003+PMS5003+BME280,,,False,False,False,36318,,,,,,,False,1.72,2.73,6.48,7.97,3.74,3.13
70403,,37.320428,-122.270306,100 Canada Vista,outside,6.14,79.0,26.11111111111111,36.0,997.4,,,,,,,,,,,,,2020-10-15 03:56:15,PMS5003+PMS5003+BME280,,,False,False,False,995,,,,,,,False,6.34,7.34,6.85,5.52,6.36,7.1
47959,,33.767104,-118.198957,100 Oceangate,inside,14.6,78.0,25.555555555555557,40.0,1008.22,,,,,,,,,,,,,2020-10-15 20:31:18,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,15.11,18.45,21.45,18.18,14.63,21.31
42003,,37.988603,-122.105746,1000 Rolling Hill Way,outside,2.09,95.0,35.0,11.0,1008.45,,,,,,,,,,,,,2020-10-15 20:30:53,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,2.44,2.92,3.83,4.84,7.34,30.09
20747,,37.838977,-122.205489,1000ft Montclair,outside,3.67,96.0,35.55555555555556,13.0,980.46,,,,,,,,,,,,,2020-10-15 20:31:19,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,3.04,2.21,2.05,3.58,6.72,27.34
67135,,37.382863,-122.076632,100WElCamino,inside,2.8,87.0,30.555555555555557,27.0,1012.19,,,,,,,,,,,,,2020-10-15 20:31:28,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,2.82,2.71,2.8,4.29,5.57,4.69
37077,,37.446829,-122.168242,"101 Alma St, 12th Floor, Palo Alto, CA 94301",outside,5.27,94.0,34.44444444444444,9.0,1010.7,,,,,,,,,,,,,2020-10-15 19:31:48,PMS5003+PMS5003+BME280,,,False,False,False,59,,,,,,,False,3.57,3.49,4.51,11.22,21.67,27.49
61607,,37.460399,-122.18778,102 Encinal Ave.,outside,1.75,87.0,30.555555555555557,16.0,1014.43,,,,,,,,,,,,,2020-10-15 20:30:04,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.75,2.71,3.04,5.06,7.2,19.86
14713,,40.791145,-111.863052,1020 North Terrace Hils Drive,inside,0.0,85.0,29.444444444444446,14.0,847.89,,,,,,,,,,,,,2020-10-15 20:30:15,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.04,0.83,1.12,0.48,0.48,0.7
