,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-09-04 00:00:00+00:00,15284.92,4692.98,1204.97,92.08,9.52,1.14,65.54,117.49
1,2020-09-05 00:00:00+00:00,,,,,,,,
2,2020-09-06 00:00:00+00:00,,,,,,,,
3,2020-09-07 00:00:00+00:00,,,,,,,,
4,2020-09-08 00:00:00+00:00,,,,,,,,
5,2020-09-09 00:00:00+00:00,,,,,,,,
6,2020-09-10 00:00:00+00:00,16683.85,5025.93,1785.9,253.33,35.39,4.77,60.75,164.98
7,2020-09-11 00:00:00+00:00,20403.46,6187.84,2367.73,368.93,59.67,8.79,73.27,220.0
8,2020-09-12 00:00:00+00:00,13792.65,4159.91,1529.72,215.14,28.46,3.77,49.4,138.49
9,2020-09-13 00:00:00+00:00,11075.32,3323.29,1163.77,163.76,23.18,3.26,39.93,107.67
10,2020-09-14 00:00:00+00:00,10615.44,3171.5,1179.26,197.39,34.48,5.43,36.62,113.04
11,2020-09-15 00:00:00+00:00,5245.55,1556.79,544.26,82.19,12.76,1.95,22.06,58.48
12,2020-09-16 00:00:00+00:00,688.11,197.16,42.24,3.63,0.54,0.1,2.84,5.72
13,2020-09-17 00:00:00+00:00,579.02,166.44,35.96,2.43,0.3,0.05,2.28,4.5
14,2020-09-18 00:00:00+00:00,787.4,229.02,59.41,5.62,0.78,0.14,3.38,7.71
15,2020-09-19 00:00:00+00:00,1309.47,377.12,84.82,7.57,1.09,0.2,6.36,12.39
16,2020-09-20 00:00:00+00:00,2137.05,613.37,125.05,9.09,1.17,0.2,11.24,19.42
17,2020-09-21 00:00:00+00:00,3176.38,917.08,201.37,15.67,1.86,0.31,16.76,30.79
18,2020-09-22 00:00:00+00:00,554.4,157.91,32.38,3.2,0.57,0.12,2.05,4.39
19,2020-09-23 00:00:00+00:00,446.71,124.28,18.09,1.55,0.31,0.06,1.43,2.61
20,2020-09-24 00:00:00+00:00,541.4,154.41,29.4,2.0,0.26,0.05,2.08,3.86
21,2020-09-25 00:00:00+00:00,568.46,160.43,34.38,4.4,0.94,0.21,2.03,4.92
22,2020-09-26 00:00:00+00:00,487.1,136.81,28.31,3.55,0.75,0.16,1.56,3.93
23,2020-09-27 00:00:00+00:00,817.48,229.36,38.4,3.09,0.54,0.1,3.54,6.04
24,2020-09-28 00:00:00+00:00,3631.8,1012.07,135.03,6.2,0.75,0.12,18.4,26.85
25,2020-09-29 00:00:00+00:00,894.79,251.41,35.53,1.83,0.24,0.04,4.1,6.0
26,2020-09-30 00:00:00+00:00,1970.57,573.14,139.89,10.75,1.05,0.16,10.02,19.43
27,2020-10-01 00:00:00+00:00,5329.49,1565.14,408.27,35.17,3.22,0.48,25.16,52.5
