,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
0,2016-12-31,35.23918,-118.78863,0.175,Parts per million,8-HR RUN AVG END HOUR
1,2016-12-30,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
2,2016-12-29,35.23918,-118.78863,0.229167,Parts per million,8-HR RUN AVG END HOUR
3,2016-12-28,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
4,2016-12-27,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
5,2016-12-26,35.23918,-118.78863,0.154167,Parts per million,8-HR RUN AVG END HOUR
6,2016-12-25,35.23918,-118.78863,0.158333,Parts per million,8-HR RUN AVG END HOUR
7,2016-12-24,35.23918,-118.78863,0.104167,Parts per million,8-HR RUN AVG END HOUR
8,2016-12-23,35.23918,-118.78863,0.170833,Parts per million,8-HR RUN AVG END HOUR
9,2016-12-22,35.23918,-118.78863,0.266667,Parts per million,8-HR RUN AVG END HOUR
10,2016-12-21,35.23918,-118.78863,0.241667,Parts per million,8-HR RUN AVG END HOUR
11,2016-12-20,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
12,2016-12-19,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
13,2016-12-18,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
14,2016-12-17,35.23918,-118.78863,0.158333,Parts per million,8-HR RUN AVG END HOUR
15,2016-12-16,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
16,2016-12-15,35.23918,-118.78863,0.175,Parts per million,8-HR RUN AVG END HOUR
17,2016-12-14,35.23918,-118.78863,0.175,Parts per million,8-HR RUN AVG END HOUR
18,2016-12-13,35.23918,-118.78863,0.3375,Parts per million,8-HR RUN AVG END HOUR
19,2016-12-12,35.23918,-118.78863,0.2625,Parts per million,8-HR RUN AVG END HOUR
20,2016-12-11,35.23918,-118.78863,0.304167,Parts per million,8-HR RUN AVG END HOUR
21,2016-12-10,35.23918,-118.78863,0.225,Parts per million,8-HR RUN AVG END HOUR
22,2016-12-09,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
23,2016-12-08,35.23918,-118.78863,0.179167,Parts per million,8-HR RUN AVG END HOUR
24,2016-12-07,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
25,2016-12-06,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
26,2016-12-05,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
27,2016-12-04,35.23918,-118.78863,0.1875,Parts per million,8-HR RUN AVG END HOUR
28,2016-12-03,35.23918,-118.78863,0.1875,Parts per million,8-HR RUN AVG END HOUR
29,2016-12-02,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
30,2016-12-01,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
31,2016-11-30,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
32,2016-11-29,35.23918,-118.78863,0.191667,Parts per million,8-HR RUN AVG END HOUR
33,2016-11-28,35.23918,-118.78863,0.154167,Parts per million,8-HR RUN AVG END HOUR
34,2016-11-27,35.23918,-118.78863,0.108333,Parts per million,8-HR RUN AVG END HOUR
35,2016-11-26,35.23918,-118.78863,0.1875,Parts per million,8-HR RUN AVG END HOUR
36,2016-11-25,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
37,2016-11-24,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
38,2016-11-23,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
