,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
0,2019-01-01,32.842318,-116.768293,23.625,Percent relative humidity,1 HOUR
1,2019-01-02,32.842318,-116.768293,23.291667,Percent relative humidity,1 HOUR
2,2019-01-03,32.842318,-116.768293,22.125,Percent relative humidity,1 HOUR
3,2019-01-04,32.842318,-116.768293,23.041667,Percent relative humidity,1 HOUR
4,2019-01-05,32.842318,-116.768293,53.166667,Percent relative humidity,1 HOUR
5,2019-01-06,32.842318,-116.768293,85.208333,Percent relative humidity,1 HOUR
6,2019-01-07,32.842318,-116.768293,65.666667,Percent relative humidity,1 HOUR
7,2019-01-08,32.842318,-116.768293,49.5,Percent relative humidity,1 HOUR
8,2019-01-09,32.842318,-116.768293,59.291667,Percent relative humidity,1 HOUR
9,2019-01-10,32.842318,-116.768293,75.666667,Percent relative humidity,1 HOUR
10,2019-01-11,32.842318,-116.768293,58.208333,Percent relative humidity,1 HOUR
11,2019-01-12,32.842318,-116.768293,84.458333,Percent relative humidity,1 HOUR
12,2019-01-13,32.842318,-116.768293,69.583333,Percent relative humidity,1 HOUR
13,2019-01-14,32.842318,-116.768293,76.125,Percent relative humidity,1 HOUR
14,2019-01-15,32.842318,-116.768293,88.041667,Percent relative humidity,1 HOUR
15,2019-01-16,32.842318,-116.768293,75.791667,Percent relative humidity,1 HOUR
16,2019-01-17,32.842318,-116.768293,95.625,Percent relative humidity,1 HOUR
17,2019-01-18,32.842318,-116.768293,89.041667,Percent relative humidity,1 HOUR
18,2019-01-19,32.842318,-116.768293,49.5,Percent relative humidity,1 HOUR
19,2019-01-20,32.842318,-116.768293,47.875,Percent relative humidity,1 HOUR
20,2019-01-21,32.842318,-116.768293,77.083333,Percent relative humidity,1 HOUR
21,2019-01-22,32.842318,-116.768293,35.416667,Percent relative humidity,1 HOUR
22,2019-01-23,32.842318,-116.768293,22.541667,Percent relative humidity,1 HOUR
23,2019-01-24,32.842318,-116.768293,23.130435,Percent relative humidity,1 HOUR
24,2019-01-25,32.842318,-116.768293,20.791667,Percent relative humidity,1 HOUR
25,2019-01-26,32.842318,-116.768293,16.166667,Percent relative humidity,1 HOUR
26,2019-01-27,32.842318,-116.768293,20.916667,Percent relative humidity,1 HOUR
27,2019-01-28,32.842318,-116.768293,29.291667,Percent relative humidity,1 HOUR
28,2019-01-29,32.842318,-116.768293,46.916667,Percent relative humidity,1 HOUR
29,2019-01-30,32.842318,-116.768293,81.666667,Percent relative humidity,1 HOUR
30,2019-01-31,32.842318,-116.768293,83.666667,Percent relative humidity,1 HOUR
31,2019-02-01,32.842318,-116.768293,85.458333,Percent relative humidity,1 HOUR
