,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
0,2018-12-31,35.04673,-120.58777,6.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
1,2018-12-30,35.04673,-120.58777,27.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
2,2018-12-29,35.04673,-120.58777,23.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
3,2018-12-28,35.04673,-120.58777,4.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
4,2018-12-26,35.04673,-120.58777,7.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
5,2018-12-25,35.04673,-120.58777,8.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
6,2018-12-24,35.04673,-120.58777,26.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
7,2018-12-27,35.04673,-120.58777,4.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
8,2018-12-23,35.04673,-120.58777,15.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
9,2018-12-22,35.04673,-120.58777,13.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
10,2018-12-21,35.04673,-120.58777,20.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
11,2018-12-20,35.04673,-120.58777,13.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
12,2018-12-19,35.04673,-120.58777,18.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
13,2018-12-18,35.04673,-120.58777,5.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
14,2018-12-17,35.04673,-120.58777,13.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
15,2018-12-16,35.04673,-120.58777,7.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
16,2018-12-15,35.04673,-120.58777,18.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
17,2018-12-14,35.04673,-120.58777,20.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
18,2018-12-13,35.04673,-120.58777,26.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
19,2018-12-12,35.04673,-120.58777,7.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
20,2018-12-11,35.04673,-120.58777,9.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
21,2018-12-10,35.04673,-120.58777,8.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
22,2018-12-09,35.04673,-120.58777,9.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
23,2018-12-08,35.04673,-120.58777,13.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
24,2018-12-06,35.04673,-120.58777,5.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
25,2018-12-05,35.04673,-120.58777,1.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
26,2018-12-04,35.04673,-120.58777,11.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
27,2018-12-07,35.04673,-120.58777,10.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
28,2018-12-03,35.04673,-120.58777,9.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
29,2018-12-02,35.04673,-120.58777,10.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
30,2018-12-01,35.04673,-120.58777,9.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
31,2018-11-30,35.04673,-120.58777,46.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
32,2018-11-29,35.04673,-120.58777,21.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
33,2018-11-28,35.04673,-120.58777,1.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
34,2018-11-27,35.04673,-120.58777,21.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
35,2018-11-26,35.04673,-120.58777,12.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
36,2018-11-25,35.04673,-120.58777,10.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
37,2018-11-24,35.04673,-120.58777,20.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
38,2018-11-23,35.04673,-120.58777,6.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
39,2018-11-22,35.04673,-120.58777,9.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
40,2018-11-21,35.04673,-120.58777,17.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
41,2018-11-20,35.04673,-120.58777,29.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
42,2018-11-19,35.04673,-120.58777,45.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
43,2018-11-18,35.04673,-120.58777,45.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
44,2018-11-17,35.04673,-120.58777,49.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
45,2018-11-16,35.04673,-120.58777,64.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
46,2018-11-15,35.04673,-120.58777,46.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
47,2018-11-14,35.04673,-120.58777,41.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
48,2018-11-13,35.04673,-120.58777,35.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
49,2018-11-12,35.04673,-120.58777,46.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
50,2018-11-11,35.04673,-120.58777,41.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
51,2018-11-10,35.04673,-120.58777,47.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
52,2018-11-09,35.04673,-120.58777,40.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
53,2018-11-08,35.04673,-120.58777,37.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
54,2018-11-07,35.04673,-120.58777,32.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
55,2018-11-06,35.04673,-120.58777,30.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
56,2018-11-05,35.04673,-120.58777,35.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
57,2018-11-04,35.04673,-120.58777,39.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
58,2018-11-03,35.04673,-120.58777,43.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
59,2018-11-02,35.04673,-120.58777,44.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
60,2018-11-01,35.04673,-120.58777,47.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
61,2018-10-31,35.04673,-120.58777,48.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
62,2018-10-30,35.04673,-120.58777,46.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
63,2018-10-29,35.04673,-120.58777,30.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
64,2018-10-28,35.04673,-120.58777,40.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
65,2018-10-27,35.04673,-120.58777,22.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
66,2018-10-26,35.04673,-120.58777,34.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
67,2018-10-25,35.04673,-120.58777,40.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
68,2018-10-24,35.04673,-120.58777,43.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
69,2018-10-23,35.04673,-120.58777,44.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
70,2018-10-22,35.04673,-120.58777,26.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
71,2018-10-21,35.04673,-120.58777,22.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
72,2018-10-20,35.04673,-120.58777,42.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
73,2018-10-19,35.04673,-120.58777,48.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
74,2018-10-18,35.04673,-120.58777,22.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
75,2018-10-17,35.04673,-120.58777,22.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
76,2018-10-16,35.04673,-120.58777,53.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
77,2018-10-15,35.04673,-120.58777,28.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
78,2018-10-14,35.04673,-120.58777,15.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
79,2018-10-13,35.04673,-120.58777,21.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
80,2018-10-12,35.04673,-120.58777,30.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
81,2018-10-11,35.04673,-120.58777,12.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
82,2018-10-10,35.04673,-120.58777,13.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
83,2018-10-09,35.04673,-120.58777,18.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
84,2018-10-08,35.04673,-120.58777,29.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
85,2018-10-07,35.04673,-120.58777,42.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
86,2018-10-06,35.04673,-120.58777,71.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
87,2018-10-05,35.04673,-120.58777,63.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
88,2018-10-03,35.04673,-120.58777,6.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
89,2018-10-02,35.04673,-120.58777,10.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
90,2018-10-01,35.04673,-120.58777,12.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
91,2018-10-04,35.04673,-120.58777,4.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
92,2018-09-30,35.04673,-120.58777,11.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
93,2018-09-29,35.04673,-120.58777,19.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
94,2018-09-28,35.04673,-120.58777,13.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
95,2018-09-27,35.04673,-120.58777,10.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
96,2018-09-26,35.04673,-120.58777,22.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
97,2018-09-25,35.04673,-120.58777,20.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
98,2018-09-24,35.04673,-120.58777,16.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
99,2018-09-23,35.04673,-120.58777,8.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
100,2018-09-22,35.04673,-120.58777,8.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
101,2018-09-21,35.04673,-120.58777,17.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
102,2018-09-20,35.04673,-120.58777,41.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
103,2018-09-19,35.04673,-120.58777,57.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
104,2018-09-18,35.04673,-120.58777,41.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
105,2018-09-17,35.04673,-120.58777,28.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
106,2018-09-16,35.04673,-120.58777,33.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
107,2018-09-15,35.04673,-120.58777,72.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
108,2018-09-14,35.04673,-120.58777,31.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
109,2018-09-13,35.04673,-120.58777,60.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
110,2018-09-12,35.04673,-120.58777,35.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
111,2018-09-11,35.04673,-120.58777,21.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
112,2018-09-10,35.04673,-120.58777,15.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
113,2018-09-09,35.04673,-120.58777,27.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
114,2018-09-08,35.04673,-120.58777,40.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
115,2018-09-07,35.04673,-120.58777,20.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
116,2018-09-06,35.04673,-120.58777,12.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
117,2018-09-05,35.04673,-120.58777,6.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
118,2018-09-04,35.04673,-120.58777,8.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
119,2018-09-03,35.04673,-120.58777,9.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
120,2018-09-02,35.04673,-120.58777,27.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
121,2018-09-01,35.04673,-120.58777,92.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
122,2018-08-31,35.04673,-120.58777,116.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
123,2018-08-30,35.04673,-120.58777,60.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
124,2018-08-29,35.04673,-120.58777,25.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
125,2018-08-28,35.04673,-120.58777,19.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
126,2018-08-27,35.04673,-120.58777,15.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
127,2018-08-26,35.04673,-120.58777,20.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
