,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
0,2020-03-31,40.17093,-122.25556,0.9,Micrograms/cubic meter (LC),24-HR BLK AVG
1,2020-03-31,40.17093,-122.25556,0.9,Micrograms/cubic meter (LC),24-HR BLK AVG
2,2020-03-31,40.17093,-122.25556,0.9,Micrograms/cubic meter (LC),24-HR BLK AVG
3,2020-03-31,40.17093,-122.25556,0.9,Micrograms/cubic meter (LC),24-HR BLK AVG
4,2020-03-30,40.17093,-122.25556,2.0,Micrograms/cubic meter (LC),24-HR BLK AVG
5,2020-03-30,40.17093,-122.25556,2.0,Micrograms/cubic meter (LC),24-HR BLK AVG
6,2020-03-30,40.17093,-122.25556,2.0,Micrograms/cubic meter (LC),24-HR BLK AVG
7,2020-03-30,40.17093,-122.25556,2.0,Micrograms/cubic meter (LC),24-HR BLK AVG
8,2020-03-29,40.17093,-122.25556,5.8,Micrograms/cubic meter (LC),24-HR BLK AVG
9,2020-03-29,40.17093,-122.25556,5.8,Micrograms/cubic meter (LC),24-HR BLK AVG
10,2020-03-29,40.17093,-122.25556,5.8,Micrograms/cubic meter (LC),24-HR BLK AVG
11,2020-03-29,40.17093,-122.25556,5.8,Micrograms/cubic meter (LC),24-HR BLK AVG
12,2020-03-28,40.17093,-122.25556,9.4,Micrograms/cubic meter (LC),24-HR BLK AVG
13,2020-03-28,40.17093,-122.25556,9.4,Micrograms/cubic meter (LC),24-HR BLK AVG
14,2020-03-28,40.17093,-122.25556,9.4,Micrograms/cubic meter (LC),24-HR BLK AVG
15,2020-03-28,40.17093,-122.25556,9.4,Micrograms/cubic meter (LC),24-HR BLK AVG
16,2020-03-27,40.17093,-122.25556,5.7,Micrograms/cubic meter (LC),24-HR BLK AVG
17,2020-03-27,40.17093,-122.25556,5.7,Micrograms/cubic meter (LC),24-HR BLK AVG
18,2020-03-27,40.17093,-122.25556,5.7,Micrograms/cubic meter (LC),24-HR BLK AVG
19,2020-03-27,40.17093,-122.25556,5.7,Micrograms/cubic meter (LC),24-HR BLK AVG
20,2020-03-26,40.17093,-122.25556,3.0,Micrograms/cubic meter (LC),24-HR BLK AVG
21,2020-03-26,40.17093,-122.25556,3.0,Micrograms/cubic meter (LC),24-HR BLK AVG
22,2020-03-26,40.17093,-122.25556,3.0,Micrograms/cubic meter (LC),24-HR BLK AVG
23,2020-03-26,40.17093,-122.25556,3.0,Micrograms/cubic meter (LC),24-HR BLK AVG
24,2020-03-25,40.17093,-122.25556,2.7,Micrograms/cubic meter (LC),24-HR BLK AVG
25,2020-03-25,40.17093,-122.25556,2.7,Micrograms/cubic meter (LC),24-HR BLK AVG
26,2020-03-25,40.17093,-122.25556,2.7,Micrograms/cubic meter (LC),24-HR BLK AVG
27,2020-03-25,40.17093,-122.25556,2.7,Micrograms/cubic meter (LC),24-HR BLK AVG
28,2020-03-24,40.17093,-122.25556,2.4,Micrograms/cubic meter (LC),24-HR BLK AVG
29,2020-03-24,40.17093,-122.25556,2.4,Micrograms/cubic meter (LC),24-HR BLK AVG
30,2020-03-24,40.17093,-122.25556,2.4,Micrograms/cubic meter (LC),24-HR BLK AVG
31,2020-03-24,40.17093,-122.25556,2.4,Micrograms/cubic meter (LC),24-HR BLK AVG
32,2020-03-23,40.17093,-122.25556,6.0,Micrograms/cubic meter (LC),24-HR BLK AVG
33,2020-03-23,40.17093,-122.25556,6.0,Micrograms/cubic meter (LC),24-HR BLK AVG
34,2020-03-23,40.17093,-122.25556,6.0,Micrograms/cubic meter (LC),24-HR BLK AVG
35,2020-03-23,40.17093,-122.25556,6.0,Micrograms/cubic meter (LC),24-HR BLK AVG
36,2020-03-22,40.17093,-122.25556,6.4,Micrograms/cubic meter (LC),24-HR BLK AVG
37,2020-03-22,40.17093,-122.25556,6.4,Micrograms/cubic meter (LC),24-HR BLK AVG
38,2020-03-22,40.17093,-122.25556,6.4,Micrograms/cubic meter (LC),24-HR BLK AVG
39,2020-03-22,40.17093,-122.25556,6.4,Micrograms/cubic meter (LC),24-HR BLK AVG
40,2020-03-21,40.17093,-122.25556,4.3,Micrograms/cubic meter (LC),24-HR BLK AVG
41,2020-03-21,40.17093,-122.25556,4.3,Micrograms/cubic meter (LC),24-HR BLK AVG
42,2020-03-21,40.17093,-122.25556,4.3,Micrograms/cubic meter (LC),24-HR BLK AVG
43,2020-03-21,40.17093,-122.25556,4.3,Micrograms/cubic meter (LC),24-HR BLK AVG
44,2020-03-20,40.17093,-122.25556,3.7,Micrograms/cubic meter (LC),24-HR BLK AVG
45,2020-03-20,40.17093,-122.25556,3.7,Micrograms/cubic meter (LC),24-HR BLK AVG
46,2020-03-20,40.17093,-122.25556,3.7,Micrograms/cubic meter (LC),24-HR BLK AVG
47,2020-03-20,40.17093,-122.25556,3.7,Micrograms/cubic meter (LC),24-HR BLK AVG
48,2020-03-19,40.17093,-122.25556,3.1,Micrograms/cubic meter (LC),24-HR BLK AVG
49,2020-03-19,40.17093,-122.25556,3.1,Micrograms/cubic meter (LC),24-HR BLK AVG
50,2020-03-19,40.17093,-122.25556,3.1,Micrograms/cubic meter (LC),24-HR BLK AVG
51,2020-03-19,40.17093,-122.25556,3.1,Micrograms/cubic meter (LC),24-HR BLK AVG
52,2020-03-18,40.17093,-122.25556,2.8,Micrograms/cubic meter (LC),24-HR BLK AVG
53,2020-03-18,40.17093,-122.25556,2.8,Micrograms/cubic meter (LC),24-HR BLK AVG
54,2020-03-18,40.17093,-122.25556,2.8,Micrograms/cubic meter (LC),24-HR BLK AVG
55,2020-03-18,40.17093,-122.25556,2.8,Micrograms/cubic meter (LC),24-HR BLK AVG
56,2020-03-17,40.17093,-122.25556,2.7,Micrograms/cubic meter (LC),24-HR BLK AVG
57,2020-03-17,40.17093,-122.25556,2.7,Micrograms/cubic meter (LC),24-HR BLK AVG
58,2020-03-17,40.17093,-122.25556,2.7,Micrograms/cubic meter (LC),24-HR BLK AVG
59,2020-03-17,40.17093,-122.25556,2.7,Micrograms/cubic meter (LC),24-HR BLK AVG
60,2020-03-16,40.17093,-122.25556,2.9,Micrograms/cubic meter (LC),24-HR BLK AVG
61,2020-03-16,40.17093,-122.25556,2.9,Micrograms/cubic meter (LC),24-HR BLK AVG
62,2020-03-16,40.17093,-122.25556,2.9,Micrograms/cubic meter (LC),24-HR BLK AVG
63,2020-03-16,40.17093,-122.25556,2.9,Micrograms/cubic meter (LC),24-HR BLK AVG
64,2020-03-15,40.17093,-122.25556,2.6,Micrograms/cubic meter (LC),24-HR BLK AVG
65,2020-03-15,40.17093,-122.25556,2.6,Micrograms/cubic meter (LC),24-HR BLK AVG
66,2020-03-15,40.17093,-122.25556,2.6,Micrograms/cubic meter (LC),24-HR BLK AVG
67,2020-03-15,40.17093,-122.25556,2.6,Micrograms/cubic meter (LC),24-HR BLK AVG
68,2020-03-14,40.17093,-122.25556,2.8,Micrograms/cubic meter (LC),24-HR BLK AVG
69,2020-03-14,40.17093,-122.25556,2.8,Micrograms/cubic meter (LC),24-HR BLK AVG
70,2020-03-14,40.17093,-122.25556,2.8,Micrograms/cubic meter (LC),24-HR BLK AVG
71,2020-03-14,40.17093,-122.25556,2.8,Micrograms/cubic meter (LC),24-HR BLK AVG
72,2020-03-13,40.17093,-122.25556,7.8,Micrograms/cubic meter (LC),24-HR BLK AVG
73,2020-03-13,40.17093,-122.25556,7.8,Micrograms/cubic meter (LC),24-HR BLK AVG
74,2020-03-13,40.17093,-122.25556,7.8,Micrograms/cubic meter (LC),24-HR BLK AVG
75,2020-03-13,40.17093,-122.25556,7.8,Micrograms/cubic meter (LC),24-HR BLK AVG
76,2020-03-12,40.17093,-122.25556,4.3,Micrograms/cubic meter (LC),24-HR BLK AVG
77,2020-03-12,40.17093,-122.25556,4.3,Micrograms/cubic meter (LC),24-HR BLK AVG
78,2020-03-12,40.17093,-122.25556,4.3,Micrograms/cubic meter (LC),24-HR BLK AVG
79,2020-03-12,40.17093,-122.25556,4.3,Micrograms/cubic meter (LC),24-HR BLK AVG
80,2020-03-11,40.17093,-122.25556,4.9,Micrograms/cubic meter (LC),24-HR BLK AVG
81,2020-03-11,40.17093,-122.25556,4.9,Micrograms/cubic meter (LC),24-HR BLK AVG
82,2020-03-11,40.17093,-122.25556,4.9,Micrograms/cubic meter (LC),24-HR BLK AVG
83,2020-03-11,40.17093,-122.25556,4.9,Micrograms/cubic meter (LC),24-HR BLK AVG
84,2020-03-10,40.17093,-122.25556,2.6,Micrograms/cubic meter (LC),24-HR BLK AVG
85,2020-03-10,40.17093,-122.25556,2.6,Micrograms/cubic meter (LC),24-HR BLK AVG
86,2020-03-10,40.17093,-122.25556,2.6,Micrograms/cubic meter (LC),24-HR BLK AVG
87,2020-03-10,40.17093,-122.25556,2.6,Micrograms/cubic meter (LC),24-HR BLK AVG
88,2020-03-09,40.17093,-122.25556,3.3,Micrograms/cubic meter (LC),24-HR BLK AVG
89,2020-03-09,40.17093,-122.25556,3.3,Micrograms/cubic meter (LC),24-HR BLK AVG
90,2020-03-09,40.17093,-122.25556,3.3,Micrograms/cubic meter (LC),24-HR BLK AVG
91,2020-03-09,40.17093,-122.25556,3.3,Micrograms/cubic meter (LC),24-HR BLK AVG
