,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
0,2018-12-31,34.030833,-117.61722,10.7,Degrees Centigrade,24 HOUR
1,2018-12-30,34.030833,-117.61722,10.7,Degrees Centigrade,24 HOUR
2,2018-12-29,34.030833,-117.61722,10.6,Degrees Centigrade,24 HOUR
3,2018-12-28,34.030833,-117.61722,11.5,Degrees Centigrade,24 HOUR
4,2018-12-27,34.030833,-117.61722,12.2,Degrees Centigrade,24 HOUR
5,2018-12-26,34.030833,-117.61722,12.3,Degrees Centigrade,24 HOUR
6,2018-12-25,34.030833,-117.61722,13.3,Degrees Centigrade,24 HOUR
7,2018-12-24,34.030833,-117.61722,13.8,Degrees Centigrade,24 HOUR
8,2018-12-23,34.030833,-117.61722,13.7,Degrees Centigrade,24 HOUR
9,2018-12-22,34.030833,-117.61722,14.3,Degrees Centigrade,24 HOUR
10,2018-12-21,34.030833,-117.61722,15.3,Degrees Centigrade,24 HOUR
11,2018-12-20,34.030833,-117.61722,16.9,Degrees Centigrade,24 HOUR
12,2018-12-19,34.030833,-117.61722,16.0,Degrees Centigrade,24 HOUR
13,2018-12-18,34.030833,-117.61722,15.2,Degrees Centigrade,24 HOUR
14,2018-12-17,34.030833,-117.61722,15.0,Degrees Centigrade,24 HOUR
15,2018-12-16,34.030833,-117.61722,14.3,Degrees Centigrade,24 HOUR
16,2018-12-15,34.030833,-117.61722,15.3,Degrees Centigrade,24 HOUR
17,2018-12-14,34.030833,-117.61722,14.1,Degrees Centigrade,24 HOUR
18,2018-12-13,34.030833,-117.61722,15.5,Degrees Centigrade,24 HOUR
19,2018-12-12,34.030833,-117.61722,13.2,Degrees Centigrade,24 HOUR
20,2018-12-11,34.030833,-117.61722,14.4,Degrees Centigrade,24 HOUR
21,2018-12-10,34.030833,-117.61722,14.3,Degrees Centigrade,24 HOUR
22,2018-12-09,34.030833,-117.61722,14.6,Degrees Centigrade,24 HOUR
23,2018-12-08,34.030833,-117.61722,14.1,Degrees Centigrade,24 HOUR
24,2018-12-07,34.030833,-117.61722,13.7,Degrees Centigrade,24 HOUR
