,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
0,2018-12-31,37.360684,-118.330783,274.720833,Degrees Compass,1 HOUR
1,2018-12-30,37.360684,-118.330783,254.620833,Degrees Compass,1 HOUR
2,2018-12-29,37.360684,-118.330783,320.208333,Degrees Compass,1 HOUR
3,2018-12-28,37.360684,-118.330783,242.058333,Degrees Compass,1 HOUR
4,2018-12-27,37.360684,-118.330783,245.175,Degrees Compass,1 HOUR
5,2018-12-26,37.360684,-118.330783,295.654167,Degrees Compass,1 HOUR
6,2018-12-25,37.360684,-118.330783,239.483333,Degrees Compass,1 HOUR
7,2018-12-24,37.360684,-118.330783,235.054167,Degrees Compass,1 HOUR
8,2018-12-23,37.360684,-118.330783,187.6125,Degrees Compass,1 HOUR
9,2018-12-22,37.360684,-118.330783,245.025,Degrees Compass,1 HOUR
10,2018-12-21,37.360684,-118.330783,281.645833,Degrees Compass,1 HOUR
11,2018-12-20,37.360684,-118.330783,261.954167,Degrees Compass,1 HOUR
12,2018-12-19,37.360684,-118.330783,220.595833,Degrees Compass,1 HOUR
13,2018-12-18,37.360684,-118.330783,265.908333,Degrees Compass,1 HOUR
14,2018-12-17,37.360684,-118.330783,163.704167,Degrees Compass,1 HOUR
15,2018-12-16,37.360684,-118.330783,209.595833,Degrees Compass,1 HOUR
16,2018-12-15,37.360684,-118.330783,228.475,Degrees Compass,1 HOUR
17,2018-12-14,37.360684,-118.330783,232.625,Degrees Compass,1 HOUR
18,2018-12-13,37.360684,-118.330783,239.575,Degrees Compass,1 HOUR
19,2018-12-12,37.360684,-118.330783,263.458333,Degrees Compass,1 HOUR
20,2018-12-11,37.360684,-118.330783,283.9,Degrees Compass,1 HOUR
21,2018-12-10,37.360684,-118.330783,239.65,Degrees Compass,1 HOUR
22,2018-12-09,37.360684,-118.330783,223.416667,Degrees Compass,1 HOUR
23,2018-12-08,37.360684,-118.330783,275.570833,Degrees Compass,1 HOUR
24,2018-12-07,37.360684,-118.330783,206.883333,Degrees Compass,1 HOUR
25,2018-12-06,37.360684,-118.330783,205.758333,Degrees Compass,1 HOUR
26,2018-12-05,37.360684,-118.330783,206.970833,Degrees Compass,1 HOUR
27,2018-12-04,37.360684,-118.330783,261.295833,Degrees Compass,1 HOUR
28,2018-12-03,37.360684,-118.330783,216.604167,Degrees Compass,1 HOUR
29,2018-12-02,37.360684,-118.330783,231.354167,Degrees Compass,1 HOUR
30,2018-12-01,37.360684,-118.330783,271.0,Degrees Compass,1 HOUR
31,2018-11-30,37.360684,-118.330783,245.6625,Degrees Compass,1 HOUR
32,2018-11-29,37.360684,-118.330783,210.833333,Degrees Compass,1 HOUR
33,2018-11-28,37.360684,-118.330783,205.395833,Degrees Compass,1 HOUR
34,2018-11-26,37.360684,-118.330783,226.5125,Degrees Compass,1 HOUR
35,2018-11-25,37.360684,-118.330783,206.279167,Degrees Compass,1 HOUR
36,2018-11-24,37.360684,-118.330783,290.141667,Degrees Compass,1 HOUR
37,2018-11-27,37.360684,-118.330783,212.795833,Degrees Compass,1 HOUR
38,2018-11-23,37.360684,-118.330783,211.954167,Degrees Compass,1 HOUR
39,2018-11-22,37.360684,-118.330783,208.304167,Degrees Compass,1 HOUR
40,2018-11-21,37.360684,-118.330783,215.625,Degrees Compass,1 HOUR
41,2018-11-20,37.360684,-118.330783,259.2125,Degrees Compass,1 HOUR
42,2018-11-19,37.360684,-118.330783,226.0,Degrees Compass,1 HOUR
43,2018-11-18,37.360684,-118.330783,256.808333,Degrees Compass,1 HOUR
44,2018-11-17,37.360684,-118.330783,231.3375,Degrees Compass,1 HOUR
45,2018-11-16,37.360684,-118.330783,235.191667,Degrees Compass,1 HOUR
46,2018-11-15,37.360684,-118.330783,243.895833,Degrees Compass,1 HOUR
47,2018-11-14,37.360684,-118.330783,243.529167,Degrees Compass,1 HOUR
48,2018-11-13,37.360684,-118.330783,236.408333,Degrees Compass,1 HOUR
49,2018-11-12,37.360684,-118.330783,208.904167,Degrees Compass,1 HOUR
50,2018-11-11,37.360684,-118.330783,290.979167,Degrees Compass,1 HOUR
51,2018-11-10,37.360684,-118.330783,240.058333,Degrees Compass,1 HOUR
52,2018-11-09,37.360684,-118.330783,270.608333,Degrees Compass,1 HOUR
53,2018-11-08,37.360684,-118.330783,238.241667,Degrees Compass,1 HOUR
54,2018-11-07,37.360684,-118.330783,237.516667,Degrees Compass,1 HOUR
55,2018-11-06,37.360684,-118.330783,255.020833,Degrees Compass,1 HOUR
56,2018-11-05,37.360684,-118.330783,200.2,Degrees Compass,1 HOUR
57,2018-11-04,37.360684,-118.330783,247.470833,Degrees Compass,1 HOUR
58,2018-11-03,37.360684,-118.330783,321.95,Degrees Compass,1 HOUR
59,2018-11-02,37.360684,-118.330783,209.325,Degrees Compass,1 HOUR
60,2018-11-01,37.360684,-118.330783,274.620833,Degrees Compass,1 HOUR
61,2018-10-31,37.360684,-118.330783,266.6375,Degrees Compass,1 HOUR
62,2018-10-30,37.360684,-118.330783,290.283333,Degrees Compass,1 HOUR
63,2018-10-29,37.360684,-118.330783,300.213043,Degrees Compass,1 HOUR
64,2018-10-28,37.360684,-118.330783,268.416667,Degrees Compass,1 HOUR
65,2018-10-27,37.360684,-118.330783,269.5875,Degrees Compass,1 HOUR
66,2018-10-26,37.360684,-118.330783,214.275,Degrees Compass,1 HOUR
67,2018-10-25,37.360684,-118.330783,237.895833,Degrees Compass,1 HOUR
68,2018-10-24,37.360684,-118.330783,241.6375,Degrees Compass,1 HOUR
69,2018-10-23,37.360684,-118.330783,260.933333,Degrees Compass,1 HOUR
70,2018-10-22,37.360684,-118.330783,231.016667,Degrees Compass,1 HOUR
71,2018-10-21,37.360684,-118.330783,203.041667,Degrees Compass,1 HOUR
72,2018-10-20,37.360684,-118.330783,210.270833,Degrees Compass,1 HOUR
73,2018-10-19,37.360684,-118.330783,277.108333,Degrees Compass,1 HOUR
74,2018-10-18,37.360684,-118.330783,277.083333,Degrees Compass,1 HOUR
75,2018-10-17,37.360684,-118.330783,226.563636,Degrees Compass,1 HOUR
76,2018-10-16,37.360684,-118.330783,241.666667,Degrees Compass,1 HOUR
77,2018-10-15,37.360684,-118.330783,255.6375,Degrees Compass,1 HOUR
78,2018-10-14,37.360684,-118.330783,263.591667,Degrees Compass,1 HOUR
79,2018-10-13,37.360684,-118.330783,222.645833,Degrees Compass,1 HOUR
80,2018-10-12,37.360684,-118.330783,262.0875,Degrees Compass,1 HOUR
81,2018-10-11,37.360684,-118.330783,187.575,Degrees Compass,1 HOUR
82,2018-10-10,37.360684,-118.330783,235.5125,Degrees Compass,1 HOUR
83,2018-10-09,37.360684,-118.330783,213.1,Degrees Compass,1 HOUR
84,2018-10-08,37.360684,-118.330783,315.145833,Degrees Compass,1 HOUR
85,2018-10-07,37.360684,-118.330783,152.604167,Degrees Compass,1 HOUR
86,2018-10-06,37.360684,-118.330783,270.925,Degrees Compass,1 HOUR
87,2018-10-05,37.360684,-118.330783,278.554167,Degrees Compass,1 HOUR
88,2018-10-03,37.360684,-118.330783,216.054545,Degrees Compass,1 HOUR
89,2018-10-02,37.360684,-118.330783,228.441667,Degrees Compass,1 HOUR
90,2018-10-01,37.360684,-118.330783,200.995833,Degrees Compass,1 HOUR
91,2018-10-04,37.360684,-118.330783,226.358333,Degrees Compass,1 HOUR
