,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
0,2019-01-01,32.842318,-116.768293,3.379167,Knots,1 HOUR
1,2019-01-02,32.842318,-116.768293,1.666667,Knots,1 HOUR
2,2019-01-03,32.842318,-116.768293,1.483333,Knots,1 HOUR
3,2019-01-04,32.842318,-116.768293,1.291667,Knots,1 HOUR
4,2019-01-05,32.842318,-116.768293,2.233333,Knots,1 HOUR
5,2019-01-06,32.842318,-116.768293,2.441667,Knots,1 HOUR
6,2019-01-07,32.842318,-116.768293,1.654167,Knots,1 HOUR
7,2019-01-08,32.842318,-116.768293,3.1875,Knots,1 HOUR
8,2019-01-09,32.842318,-116.768293,1.429167,Knots,1 HOUR
9,2019-01-10,32.842318,-116.768293,1.391667,Knots,1 HOUR
10,2019-01-11,32.842318,-116.768293,1.666667,Knots,1 HOUR
11,2019-01-12,32.842318,-116.768293,2.1875,Knots,1 HOUR
12,2019-01-13,32.842318,-116.768293,1.954167,Knots,1 HOUR
13,2019-01-14,32.842318,-116.768293,6.3125,Knots,1 HOUR
14,2019-01-15,32.842318,-116.768293,3.120833,Knots,1 HOUR
15,2019-01-16,32.842318,-116.768293,3.4125,Knots,1 HOUR
16,2019-01-17,32.842318,-116.768293,3.175,Knots,1 HOUR
17,2019-01-18,32.842318,-116.768293,1.4,Knots,1 HOUR
18,2019-01-19,32.842318,-116.768293,1.5875,Knots,1 HOUR
19,2019-01-20,32.842318,-116.768293,1.425,Knots,1 HOUR
20,2019-01-21,32.842318,-116.768293,3.245833,Knots,1 HOUR
21,2019-01-22,32.842318,-116.768293,1.929167,Knots,1 HOUR
22,2019-01-23,32.842318,-116.768293,1.520833,Knots,1 HOUR
23,2019-01-24,32.842318,-116.768293,1.46087,Knots,1 HOUR
24,2019-01-25,32.842318,-116.768293,1.695833,Knots,1 HOUR
25,2019-01-26,32.842318,-116.768293,2.591667,Knots,1 HOUR
26,2019-01-27,32.842318,-116.768293,1.516667,Knots,1 HOUR
27,2019-01-28,32.842318,-116.768293,1.275,Knots,1 HOUR
28,2019-01-29,32.842318,-116.768293,1.5875,Knots,1 HOUR
