,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
0,2020-04-01,34.06812,-117.52579,0.4,Parts per million,8-HR RUN AVG END HOUR
1,2020-03-31,34.06812,-117.52579,0.429167,Parts per million,8-HR RUN AVG END HOUR
2,2020-03-30,34.06812,-117.52579,0.304167,Parts per million,8-HR RUN AVG END HOUR
3,2020-03-29,34.06812,-117.52579,0.2875,Parts per million,8-HR RUN AVG END HOUR
4,2020-03-28,34.06812,-117.52579,0.279167,Parts per million,8-HR RUN AVG END HOUR
5,2020-03-27,34.06812,-117.52579,0.275,Parts per million,8-HR RUN AVG END HOUR
6,2020-03-26,34.06812,-117.52579,0.2375,Parts per million,8-HR RUN AVG END HOUR
7,2020-03-25,34.06812,-117.52579,0.229167,Parts per million,8-HR RUN AVG END HOUR
8,2020-03-24,34.06812,-117.52579,0.2625,Parts per million,8-HR RUN AVG END HOUR
9,2020-03-23,34.06812,-117.52579,0.2125,Parts per million,8-HR RUN AVG END HOUR
10,2020-03-22,34.06812,-117.52579,0.233333,Parts per million,8-HR RUN AVG END HOUR
11,2020-03-21,34.06812,-117.52579,0.3,Parts per million,8-HR RUN AVG END HOUR
12,2020-03-20,34.06812,-117.52579,0.225,Parts per million,8-HR RUN AVG END HOUR
13,2020-03-19,34.06812,-117.52579,0.258333,Parts per million,8-HR RUN AVG END HOUR
14,2020-03-18,34.06812,-117.52579,0.408333,Parts per million,8-HR RUN AVG END HOUR
15,2020-03-17,34.06812,-117.52579,0.2625,Parts per million,8-HR RUN AVG END HOUR
16,2020-03-16,34.06812,-117.52579,0.258333,Parts per million,8-HR RUN AVG END HOUR
17,2020-03-15,34.06812,-117.52579,0.275,Parts per million,8-HR RUN AVG END HOUR
18,2020-03-14,34.06812,-117.52579,0.3,Parts per million,8-HR RUN AVG END HOUR
19,2020-03-13,34.06812,-117.52579,0.279167,Parts per million,8-HR RUN AVG END HOUR
20,2020-03-12,34.06812,-117.52579,0.370833,Parts per million,8-HR RUN AVG END HOUR
21,2020-03-11,34.06812,-117.52579,0.279167,Parts per million,8-HR RUN AVG END HOUR
22,2020-03-10,34.06812,-117.52579,0.2,Parts per million,8-HR RUN AVG END HOUR
23,2020-03-09,34.06812,-117.52579,0.295833,Parts per million,8-HR RUN AVG END HOUR
24,2020-03-08,34.06812,-117.52579,0.275,Parts per million,8-HR RUN AVG END HOUR
25,2020-03-07,34.06812,-117.52579,0.266667,Parts per million,8-HR RUN AVG END HOUR
26,2020-03-06,34.06812,-117.52579,0.604167,Parts per million,8-HR RUN AVG END HOUR
27,2020-03-05,34.06812,-117.52579,0.454167,Parts per million,8-HR RUN AVG END HOUR
28,2020-03-04,34.06812,-117.52579,0.491667,Parts per million,8-HR RUN AVG END HOUR
29,2020-03-03,34.06812,-117.52579,0.2,Parts per million,8-HR RUN AVG END HOUR
30,2020-03-02,34.06812,-117.52579,0.133333,Parts per million,8-HR RUN AVG END HOUR
31,2020-03-01,34.06812,-117.52579,0.291667,Parts per million,8-HR RUN AVG END HOUR
32,2020-02-29,34.06812,-117.52579,0.429167,Parts per million,8-HR RUN AVG END HOUR
33,2020-02-28,34.06812,-117.52579,0.4625,Parts per million,8-HR RUN AVG END HOUR
34,2020-02-27,34.06812,-117.52579,0.454167,Parts per million,8-HR RUN AVG END HOUR
35,2020-02-26,34.06812,-117.52579,0.254167,Parts per million,8-HR RUN AVG END HOUR
36,2020-02-25,34.06812,-117.52579,0.208333,Parts per million,8-HR RUN AVG END HOUR
37,2020-02-24,34.06812,-117.52579,0.475,Parts per million,8-HR RUN AVG END HOUR
38,2020-02-23,34.06812,-117.52579,0.266667,Parts per million,8-HR RUN AVG END HOUR
39,2020-02-22,34.06812,-117.52579,0.266667,Parts per million,8-HR RUN AVG END HOUR
40,2020-02-21,34.06812,-117.52579,0.379167,Parts per million,8-HR RUN AVG END HOUR
41,2020-02-20,34.06812,-117.52579,0.5,Parts per million,8-HR RUN AVG END HOUR
42,2020-02-19,34.06812,-117.52579,0.433333,Parts per million,8-HR RUN AVG END HOUR
43,2020-02-18,34.06812,-117.52579,0.6375,Parts per million,8-HR RUN AVG END HOUR
44,2020-02-17,34.06812,-117.52579,0.558333,Parts per million,8-HR RUN AVG END HOUR
45,2020-02-16,34.06812,-117.52579,0.483333,Parts per million,8-HR RUN AVG END HOUR
46,2020-02-15,34.06812,-117.52579,0.516667,Parts per million,8-HR RUN AVG END HOUR
47,2020-02-14,34.06812,-117.52579,0.566667,Parts per million,8-HR RUN AVG END HOUR
48,2020-02-13,34.06812,-117.52579,0.466667,Parts per million,8-HR RUN AVG END HOUR
49,2020-02-12,34.06812,-117.52579,0.4125,Parts per million,8-HR RUN AVG END HOUR
50,2020-02-11,34.06812,-117.52579,0.1625,Parts per million,8-HR RUN AVG END HOUR
51,2020-02-10,34.06812,-117.52579,0.1,Parts per million,8-HR RUN AVG END HOUR
52,2020-02-09,34.06812,-117.52579,0.291667,Parts per million,8-HR RUN AVG END HOUR
53,2020-02-08,34.06812,-117.52579,0.670833,Parts per million,8-HR RUN AVG END HOUR
54,2020-02-07,34.06812,-117.52579,0.6625,Parts per million,8-HR RUN AVG END HOUR
55,2020-02-06,34.06812,-117.52579,0.573333,Parts per million,8-HR RUN AVG END HOUR
56,2020-02-05,34.06812,-117.52579,0.3,Parts per million,8-HR RUN AVG END HOUR
57,2020-02-04,34.06812,-117.52579,0.1,Parts per million,8-HR RUN AVG END HOUR
58,2020-02-03,34.06812,-117.52579,0.1375,Parts per million,8-HR RUN AVG END HOUR
59,2020-02-02,34.06812,-117.52579,0.391667,Parts per million,8-HR RUN AVG END HOUR
