,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
0,2020-01-01,37.687526,-121.784217,7.865217,Parts per billion,1 HOUR
1,2020-01-01,37.687526,-121.784217,7.865217,Parts per billion,1 HOUR
2,2020-01-02,37.687526,-121.784217,12.504348,Parts per billion,1 HOUR
3,2020-01-02,37.687526,-121.784217,12.504348,Parts per billion,1 HOUR
4,2020-01-03,37.687526,-121.784217,16.173913,Parts per billion,1 HOUR
5,2020-01-03,37.687526,-121.784217,16.173913,Parts per billion,1 HOUR
6,2020-01-04,37.687526,-121.784217,13.908696,Parts per billion,1 HOUR
7,2020-01-04,37.687526,-121.784217,13.908696,Parts per billion,1 HOUR
8,2020-01-05,37.687526,-121.784217,11.130435,Parts per billion,1 HOUR
9,2020-01-05,37.687526,-121.784217,11.130435,Parts per billion,1 HOUR
10,2020-01-06,37.687526,-121.784217,13.83913,Parts per billion,1 HOUR
11,2020-01-06,37.687526,-121.784217,13.83913,Parts per billion,1 HOUR
12,2020-01-07,37.687526,-121.784217,12.226087,Parts per billion,1 HOUR
13,2020-01-07,37.687526,-121.784217,12.226087,Parts per billion,1 HOUR
14,2020-01-08,37.687526,-121.784217,7.704348,Parts per billion,1 HOUR
15,2020-01-08,37.687526,-121.784217,7.704348,Parts per billion,1 HOUR
16,2020-01-09,37.687526,-121.784217,7.956522,Parts per billion,1 HOUR
17,2020-01-09,37.687526,-121.784217,7.956522,Parts per billion,1 HOUR
18,2020-01-10,37.687526,-121.784217,13.121739,Parts per billion,1 HOUR
19,2020-01-10,37.687526,-121.784217,13.121739,Parts per billion,1 HOUR
20,2020-01-11,37.687526,-121.784217,8.369565,Parts per billion,1 HOUR
21,2020-01-11,37.687526,-121.784217,8.369565,Parts per billion,1 HOUR
22,2020-01-12,37.687526,-121.784217,8.721739,Parts per billion,1 HOUR
23,2020-01-12,37.687526,-121.784217,8.721739,Parts per billion,1 HOUR
24,2020-01-13,37.687526,-121.784217,6.082609,Parts per billion,1 HOUR
25,2020-01-13,37.687526,-121.784217,6.082609,Parts per billion,1 HOUR
26,2020-01-14,37.687526,-121.784217,6.291304,Parts per billion,1 HOUR
27,2020-01-14,37.687526,-121.784217,6.291304,Parts per billion,1 HOUR
28,2020-01-15,37.687526,-121.784217,16.6,Parts per billion,1 HOUR
29,2020-01-15,37.687526,-121.784217,16.6,Parts per billion,1 HOUR
