,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
0,2017-12-31,35.04673,-120.58777,27.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
1,2017-12-30,35.04673,-120.58777,47.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
2,2017-12-29,35.04673,-120.58777,77.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
3,2017-12-28,35.04673,-120.58777,62.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
4,2017-12-27,35.04673,-120.58777,45.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
5,2017-12-26,35.04673,-120.58777,60.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
6,2017-12-25,35.04673,-120.58777,36.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
7,2017-12-24,35.04673,-120.58777,34.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
8,2017-12-23,35.04673,-120.58777,27.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
9,2017-12-22,35.04673,-120.58777,36.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
10,2017-12-21,35.04673,-120.58777,18.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
11,2017-12-20,35.04673,-120.58777,18.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
12,2017-12-19,35.04673,-120.58777,44.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
13,2017-12-18,35.04673,-120.58777,65.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
14,2017-12-17,35.04673,-120.58777,69.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
15,2017-12-16,35.04673,-120.58777,94.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
16,2017-12-15,35.04673,-120.58777,68.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
17,2017-12-14,35.04673,-120.58777,71.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
18,2017-12-13,35.04673,-120.58777,75.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
19,2017-12-12,35.04673,-120.58777,54.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
20,2017-12-11,35.04673,-120.58777,80.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
21,2017-12-10,35.04673,-120.58777,83.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
22,2017-12-09,35.04673,-120.58777,55.0,Micrograms/cubic meter (25 C),24-HR BLK AVG
