,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
0,2016-12-31,34.030833,-117.61722,735.0,Millimeters (mercury),24 HOUR
1,2016-12-30,34.030833,-117.61722,738.0,Millimeters (mercury),24 HOUR
2,2016-12-29,34.030833,-117.61722,741.0,Millimeters (mercury),24 HOUR
3,2016-12-28,34.030833,-117.61722,741.0,Millimeters (mercury),24 HOUR
4,2016-12-27,34.030833,-117.61722,742.0,Millimeters (mercury),24 HOUR
5,2016-12-26,34.030833,-117.61722,742.0,Millimeters (mercury),24 HOUR
6,2016-12-25,34.030833,-117.61722,739.0,Millimeters (mercury),24 HOUR
7,2016-12-24,34.030833,-117.61722,732.0,Millimeters (mercury),24 HOUR
8,2016-12-23,34.030833,-117.61722,738.0,Millimeters (mercury),24 HOUR
9,2016-12-22,34.030833,-117.61722,736.0,Millimeters (mercury),24 HOUR
10,2016-12-21,34.030833,-117.61722,738.0,Millimeters (mercury),24 HOUR
11,2016-12-20,34.030833,-117.61722,742.0,Millimeters (mercury),24 HOUR
12,2016-12-19,34.030833,-117.61722,743.0,Millimeters (mercury),24 HOUR
13,2016-12-18,34.030833,-117.61722,742.0,Millimeters (mercury),24 HOUR
14,2016-12-17,34.030833,-117.61722,740.0,Millimeters (mercury),24 HOUR
15,2016-12-16,34.030833,-117.61722,734.0,Millimeters (mercury),24 HOUR
16,2016-12-15,34.030833,-117.61722,738.0,Millimeters (mercury),24 HOUR
17,2016-12-14,34.030833,-117.61722,740.0,Millimeters (mercury),24 HOUR
18,2016-12-13,34.030833,-117.61722,740.0,Millimeters (mercury),24 HOUR
19,2016-12-12,34.030833,-117.61722,740.0,Millimeters (mercury),24 HOUR
20,2016-12-11,34.030833,-117.61722,740.0,Millimeters (mercury),24 HOUR
21,2016-12-10,34.030833,-117.61722,741.0,Millimeters (mercury),24 HOUR
22,2016-12-09,34.030833,-117.61722,743.0,Millimeters (mercury),24 HOUR
23,2016-12-08,34.030833,-117.61722,743.0,Millimeters (mercury),24 HOUR
24,2016-12-07,34.030833,-117.61722,740.0,Millimeters (mercury),24 HOUR
25,2016-12-06,34.030833,-117.61722,737.0,Millimeters (mercury),24 HOUR
26,2016-12-05,34.030833,-117.61722,736.0,Millimeters (mercury),24 HOUR
27,2016-12-04,34.030833,-117.61722,738.0,Millimeters (mercury),24 HOUR
28,2016-12-03,34.030833,-117.61722,739.0,Millimeters (mercury),24 HOUR
29,2016-12-02,34.030833,-117.61722,737.0,Millimeters (mercury),24 HOUR
30,2016-11-30,34.030833,-117.61722,739.0,Millimeters (mercury),24 HOUR
31,2016-11-29,34.030833,-117.61722,737.0,Millimeters (mercury),24 HOUR
32,2016-11-28,34.030833,-117.61722,736.0,Millimeters (mercury),24 HOUR
33,2016-11-27,34.030833,-117.61722,738.0,Millimeters (mercury),24 HOUR
34,2016-12-01,34.030833,-117.61722,737.0,Millimeters (mercury),24 HOUR
35,2016-11-26,34.030833,-117.61722,737.0,Millimeters (mercury),24 HOUR
36,2016-11-25,34.030833,-117.61722,739.0,Millimeters (mercury),24 HOUR
37,2016-11-24,34.030833,-117.61722,741.0,Millimeters (mercury),24 HOUR
38,2016-11-23,34.030833,-117.61722,741.0,Millimeters (mercury),24 HOUR
39,2016-11-22,34.030833,-117.61722,740.0,Millimeters (mercury),24 HOUR
40,2016-11-21,34.030833,-117.61722,737.0,Millimeters (mercury),24 HOUR
41,2016-11-20,34.030833,-117.61722,737.0,Millimeters (mercury),24 HOUR
42,2016-11-19,34.030833,-117.61722,739.0,Millimeters (mercury),24 HOUR
43,2016-11-18,34.030833,-117.61722,740.0,Millimeters (mercury),24 HOUR
44,2016-11-17,34.030833,-117.61722,737.0,Millimeters (mercury),24 HOUR
45,2016-11-16,34.030833,-117.61722,735.0,Millimeters (mercury),24 HOUR
46,2016-11-15,34.030833,-117.61722,738.0,Millimeters (mercury),24 HOUR
47,2016-11-14,34.030833,-117.61722,741.0,Millimeters (mercury),24 HOUR
48,2016-11-13,34.030833,-117.61722,740.0,Millimeters (mercury),24 HOUR
49,2016-11-12,34.030833,-117.61722,740.0,Millimeters (mercury),24 HOUR
50,2016-11-11,34.030833,-117.61722,740.0,Millimeters (mercury),24 HOUR
51,2016-11-09,34.030833,-117.61722,739.0,Millimeters (mercury),24 HOUR
52,2016-11-08,34.030833,-117.61722,740.0,Millimeters (mercury),24 HOUR
53,2016-11-07,34.030833,-117.61722,740.0,Millimeters (mercury),24 HOUR
54,2016-11-06,34.030833,-117.61722,740.0,Millimeters (mercury),24 HOUR
