,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
0,2018-12-31,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
1,2018-12-30,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
2,2018-12-29,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
3,2018-12-28,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
4,2018-12-27,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
5,2018-12-26,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
6,2018-12-25,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
7,2018-12-24,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
8,2018-12-23,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
9,2018-12-22,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
10,2018-12-21,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
11,2018-12-20,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
12,2018-12-19,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
13,2018-12-18,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
14,2018-12-17,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
15,2018-12-16,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
16,2018-12-15,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
17,2018-12-14,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
18,2018-12-13,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
19,2018-12-12,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
20,2018-12-11,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
21,2018-12-10,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
22,2018-12-09,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
23,2018-12-08,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
24,2018-12-07,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
25,2018-12-06,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
26,2018-12-05,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
27,2018-12-04,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
28,2018-12-03,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
29,2018-12-02,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
30,2018-12-01,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
31,2018-11-30,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
32,2018-11-29,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
33,2018-11-28,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
34,2018-11-27,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
35,2018-11-26,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
36,2018-11-25,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
37,2018-11-24,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
38,2018-11-23,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
39,2018-11-22,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
40,2018-11-21,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
41,2018-11-19,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
42,2018-11-18,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
43,2018-11-17,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
44,2018-11-16,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
45,2018-11-15,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
46,2018-11-14,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
47,2018-11-13,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
48,2018-11-12,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
49,2018-11-11,34.725352,-120.428717,0.1,Parts per billion,24-HR BLK AVG
50,2018-11-10,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
51,2018-11-09,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
52,2018-11-08,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
53,2018-11-07,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
54,2018-11-06,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
55,2018-11-05,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
56,2018-11-04,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
57,2018-11-03,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
58,2018-11-02,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
59,2018-11-01,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
60,2018-10-31,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
61,2018-10-30,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
62,2018-10-29,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
63,2018-10-28,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
64,2018-10-27,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
65,2018-10-26,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
66,2018-10-25,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
67,2018-10-24,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
68,2018-10-23,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
69,2018-10-22,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
70,2018-10-21,34.725352,-120.428717,0.0,Parts per billion,24-HR BLK AVG
