,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
0,2019-12-31,34.030833,-117.61722,16.4,Degrees Centigrade,24 HOUR
1,2019-12-30,34.030833,-117.61722,12.5,Degrees Centigrade,24 HOUR
2,2019-12-29,34.030833,-117.61722,10.1,Degrees Centigrade,24 HOUR
3,2019-12-28,34.030833,-117.61722,9.2,Degrees Centigrade,24 HOUR
4,2019-12-27,34.030833,-117.61722,9.8,Degrees Centigrade,24 HOUR
5,2019-12-26,34.030833,-117.61722,7.3,Degrees Centigrade,24 HOUR
6,2019-12-25,34.030833,-117.61722,9.8,Degrees Centigrade,24 HOUR
7,2019-12-24,34.030833,-117.61722,9.9,Degrees Centigrade,24 HOUR
8,2019-12-23,34.030833,-117.61722,10.5,Degrees Centigrade,24 HOUR
9,2019-12-22,34.030833,-117.61722,14.5,Degrees Centigrade,24 HOUR
10,2019-12-21,34.030833,-117.61722,14.5,Degrees Centigrade,24 HOUR
11,2019-12-20,34.030833,-117.61722,14.3,Degrees Centigrade,24 HOUR
12,2019-12-19,34.030833,-117.61722,10.4,Degrees Centigrade,24 HOUR
13,2019-12-18,34.030833,-117.61722,10.3,Degrees Centigrade,24 HOUR
14,2019-12-17,34.030833,-117.61722,12.1,Degrees Centigrade,24 HOUR
15,2019-12-16,34.030833,-117.61722,12.0,Degrees Centigrade,24 HOUR
16,2019-12-15,34.030833,-117.61722,12.2,Degrees Centigrade,24 HOUR
17,2019-12-14,34.030833,-117.61722,13.2,Degrees Centigrade,24 HOUR
18,2019-12-13,34.030833,-117.61722,15.6,Degrees Centigrade,24 HOUR
19,2019-12-12,34.030833,-117.61722,15.2,Degrees Centigrade,24 HOUR
20,2019-12-11,34.030833,-117.61722,12.6,Degrees Centigrade,24 HOUR
21,2019-12-10,34.030833,-117.61722,12.8,Degrees Centigrade,24 HOUR
22,2019-12-09,34.030833,-117.61722,14.3,Degrees Centigrade,24 HOUR
23,2019-12-08,34.030833,-117.61722,14.5,Degrees Centigrade,24 HOUR
24,2019-12-07,34.030833,-117.61722,15.2,Degrees Centigrade,24 HOUR
25,2019-12-06,34.030833,-117.61722,15.0,Degrees Centigrade,24 HOUR
26,2019-12-05,34.030833,-117.61722,14.7,Degrees Centigrade,24 HOUR
27,2019-12-04,34.030833,-117.61722,13.2,Degrees Centigrade,24 HOUR
28,2019-12-03,34.030833,-117.61722,14.9,Degrees Centigrade,24 HOUR
29,2019-12-02,34.030833,-117.61722,14.0,Degrees Centigrade,24 HOUR
30,2019-12-01,34.030833,-117.61722,11.6,Degrees Centigrade,24 HOUR
31,2019-11-30,34.030833,-117.61722,9.9,Degrees Centigrade,24 HOUR
32,2019-11-28,34.030833,-117.61722,6.8,Degrees Centigrade,24 HOUR
33,2019-11-27,34.030833,-117.61722,9.5,Degrees Centigrade,24 HOUR
34,2019-11-26,34.030833,-117.61722,14.0,Degrees Centigrade,24 HOUR
35,2019-11-29,34.030833,-117.61722,7.7,Degrees Centigrade,24 HOUR
36,2019-11-25,34.030833,-117.61722,14.2,Degrees Centigrade,24 HOUR
37,2019-11-24,34.030833,-117.61722,16.0,Degrees Centigrade,24 HOUR
38,2019-11-23,34.030833,-117.61722,16.0,Degrees Centigrade,24 HOUR
39,2019-11-22,34.030833,-117.61722,15.6,Degrees Centigrade,24 HOUR
40,2019-11-21,34.030833,-117.61722,14.1,Degrees Centigrade,24 HOUR
41,2019-11-20,34.030833,-117.61722,12.3,Degrees Centigrade,24 HOUR
42,2019-11-19,34.030833,-117.61722,20.2,Degrees Centigrade,24 HOUR
43,2019-11-18,34.030833,-117.61722,22.3,Degrees Centigrade,24 HOUR
44,2019-11-17,34.030833,-117.61722,23.6,Degrees Centigrade,24 HOUR
45,2019-11-16,34.030833,-117.61722,19.3,Degrees Centigrade,24 HOUR
46,2019-11-15,34.030833,-117.61722,15.5,Degrees Centigrade,24 HOUR
47,2019-11-14,34.030833,-117.61722,16.7,Degrees Centigrade,24 HOUR
48,2019-11-13,34.030833,-117.61722,18.4,Degrees Centigrade,24 HOUR
49,2019-11-12,34.030833,-117.61722,19.9,Degrees Centigrade,24 HOUR
50,2019-11-11,34.030833,-117.61722,18.0,Degrees Centigrade,24 HOUR
51,2019-11-10,34.030833,-117.61722,18.7,Degrees Centigrade,24 HOUR
52,2019-11-09,34.030833,-117.61722,22.0,Degrees Centigrade,24 HOUR
53,2019-11-08,34.030833,-117.61722,22.0,Degrees Centigrade,24 HOUR
54,2019-11-07,34.030833,-117.61722,18.6,Degrees Centigrade,24 HOUR
55,2019-11-06,34.030833,-117.61722,18.2,Degrees Centigrade,24 HOUR
56,2019-11-05,34.030833,-117.61722,20.1,Degrees Centigrade,24 HOUR
57,2019-11-04,34.030833,-117.61722,19.0,Degrees Centigrade,24 HOUR
58,2019-11-03,34.030833,-117.61722,18.4,Degrees Centigrade,24 HOUR
59,2019-11-02,34.030833,-117.61722,18.8,Degrees Centigrade,24 HOUR
60,2019-11-01,34.030833,-117.61722,17.5,Degrees Centigrade,24 HOUR
61,2019-10-31,34.030833,-117.61722,15.3,Degrees Centigrade,24 HOUR
62,2019-10-30,34.030833,-117.61722,17.0,Degrees Centigrade,24 HOUR
63,2019-10-29,34.030833,-117.61722,16.0,Degrees Centigrade,24 HOUR
64,2019-10-28,34.030833,-117.61722,18.9,Degrees Centigrade,24 HOUR
65,2019-10-27,34.030833,-117.61722,17.8,Degrees Centigrade,24 HOUR
66,2019-10-26,34.030833,-117.61722,23.3,Degrees Centigrade,24 HOUR
67,2019-10-25,34.030833,-117.61722,26.5,Degrees Centigrade,24 HOUR
68,2019-10-24,34.030833,-117.61722,29.1,Degrees Centigrade,24 HOUR
69,2019-10-23,34.030833,-117.61722,25.0,Degrees Centigrade,24 HOUR
70,2019-10-21,34.030833,-117.61722,24.9,Degrees Centigrade,24 HOUR
71,2019-10-20,34.030833,-117.61722,21.2,Degrees Centigrade,24 HOUR
72,2019-10-19,34.030833,-117.61722,19.9,Degrees Centigrade,24 HOUR
73,2019-10-17,34.030833,-117.61722,20.2,Degrees Centigrade,24 HOUR
74,2019-10-16,34.030833,-117.61722,24.4,Degrees Centigrade,24 HOUR
75,2019-10-15,34.030833,-117.61722,22.4,Degrees Centigrade,24 HOUR
76,2019-10-14,34.030833,-117.61722,19.1,Degrees Centigrade,24 HOUR
77,2019-10-13,34.030833,-117.61722,19.2,Degrees Centigrade,24 HOUR
78,2019-10-12,34.030833,-117.61722,20.8,Degrees Centigrade,24 HOUR
79,2019-10-11,34.030833,-117.61722,23.6,Degrees Centigrade,24 HOUR
80,2019-10-10,34.030833,-117.61722,21.9,Degrees Centigrade,24 HOUR
81,2019-10-09,34.030833,-117.61722,19.1,Degrees Centigrade,24 HOUR
82,2019-10-08,34.030833,-117.61722,22.4,Degrees Centigrade,24 HOUR
83,2019-10-07,34.030833,-117.61722,24.3,Degrees Centigrade,24 HOUR
84,2019-10-06,34.030833,-117.61722,23.6,Degrees Centigrade,24 HOUR
85,2019-10-04,34.030833,-117.61722,20.6,Degrees Centigrade,24 HOUR
86,2019-10-03,34.030833,-117.61722,20.5,Degrees Centigrade,24 HOUR
87,2019-10-02,34.030833,-117.61722,20.8,Degrees Centigrade,24 HOUR
88,2019-10-01,34.030833,-117.61722,18.0,Degrees Centigrade,24 HOUR
89,2019-10-05,34.030833,-117.61722,22.1,Degrees Centigrade,24 HOUR
90,2019-09-30,34.030833,-117.61722,17.4,Degrees Centigrade,24 HOUR
91,2019-09-29,34.030833,-117.61722,18.1,Degrees Centigrade,24 HOUR
92,2019-09-28,34.030833,-117.61722,19.2,Degrees Centigrade,24 HOUR
93,2019-09-27,34.030833,-117.61722,20.1,Degrees Centigrade,24 HOUR
94,2019-09-26,34.030833,-117.61722,21.4,Degrees Centigrade,24 HOUR
95,2019-09-25,34.030833,-117.61722,24.7,Degrees Centigrade,24 HOUR
96,2019-09-23,34.030833,-117.61722,24.1,Degrees Centigrade,24 HOUR
97,2019-09-22,34.030833,-117.61722,26.9,Degrees Centigrade,24 HOUR
98,2019-09-21,34.030833,-117.61722,24.9,Degrees Centigrade,24 HOUR
99,2019-09-20,34.030833,-117.61722,22.4,Degrees Centigrade,24 HOUR
100,2019-09-19,34.030833,-117.61722,21.2,Degrees Centigrade,24 HOUR
101,2019-09-18,34.030833,-117.61722,22.8,Degrees Centigrade,24 HOUR
102,2019-09-17,34.030833,-117.61722,23.2,Degrees Centigrade,24 HOUR
103,2019-09-16,34.030833,-117.61722,24.7,Degrees Centigrade,24 HOUR
104,2019-09-15,34.030833,-117.61722,27.1,Degrees Centigrade,24 HOUR
105,2019-09-14,34.030833,-117.61722,29.2,Degrees Centigrade,24 HOUR
106,2019-09-13,34.030833,-117.61722,29.3,Degrees Centigrade,24 HOUR
107,2019-09-12,34.030833,-117.61722,26.5,Degrees Centigrade,24 HOUR
108,2019-09-11,34.030833,-117.61722,22.8,Degrees Centigrade,24 HOUR
