,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
0,2017-12-31,37.360684,-118.330783,227.620833,Degrees Compass,1 HOUR
1,2017-12-30,37.360684,-118.330783,234.616667,Degrees Compass,1 HOUR
2,2017-12-29,37.360684,-118.330783,294.654167,Degrees Compass,1 HOUR
3,2017-12-28,37.360684,-118.330783,235.225,Degrees Compass,1 HOUR
4,2017-12-27,37.360684,-118.330783,199.6,Degrees Compass,1 HOUR
5,2017-12-26,37.360684,-118.330783,255.841667,Degrees Compass,1 HOUR
6,2017-12-25,37.360684,-118.330783,267.379167,Degrees Compass,1 HOUR
7,2017-12-24,37.360684,-118.330783,203.133333,Degrees Compass,1 HOUR
8,2017-12-23,37.360684,-118.330783,256.958333,Degrees Compass,1 HOUR
9,2017-12-22,37.360684,-118.330783,242.470833,Degrees Compass,1 HOUR
10,2017-12-21,37.360684,-118.330783,247.695833,Degrees Compass,1 HOUR
11,2017-12-20,37.360684,-118.330783,284.458333,Degrees Compass,1 HOUR
12,2017-12-19,37.360684,-118.330783,186.8,Degrees Compass,1 HOUR
13,2017-12-18,37.360684,-118.330783,230.5375,Degrees Compass,1 HOUR
14,2017-12-17,37.360684,-118.330783,272.670833,Degrees Compass,1 HOUR
15,2017-12-16,37.360684,-118.330783,280.1125,Degrees Compass,1 HOUR
16,2017-12-15,37.360684,-118.330783,264.4625,Degrees Compass,1 HOUR
17,2017-12-14,37.360684,-118.330783,270.1375,Degrees Compass,1 HOUR
18,2017-12-13,37.360684,-118.330783,261.6875,Degrees Compass,1 HOUR
19,2017-12-12,37.360684,-118.330783,272.370833,Degrees Compass,1 HOUR
20,2017-12-11,37.360684,-118.330783,300.345833,Degrees Compass,1 HOUR
21,2017-12-10,37.360684,-118.330783,322.291667,Degrees Compass,1 HOUR
22,2017-12-09,37.360684,-118.330783,273.916667,Degrees Compass,1 HOUR
23,2017-12-08,37.360684,-118.330783,301.829167,Degrees Compass,1 HOUR
24,2017-12-07,37.360684,-118.330783,268.404167,Degrees Compass,1 HOUR
25,2017-12-06,37.360684,-118.330783,276.975,Degrees Compass,1 HOUR
26,2017-12-05,37.360684,-118.330783,242.308333,Degrees Compass,1 HOUR
27,2017-12-04,37.360684,-118.330783,313.554167,Degrees Compass,1 HOUR
28,2017-12-03,37.360684,-118.330783,247.358333,Degrees Compass,1 HOUR
29,2017-12-02,37.360684,-118.330783,235.4375,Degrees Compass,1 HOUR
30,2017-12-01,37.360684,-118.330783,226.55,Degrees Compass,1 HOUR
31,2017-11-30,37.360684,-118.330783,192.175,Degrees Compass,1 HOUR
32,2017-11-29,37.360684,-118.330783,261.4875,Degrees Compass,1 HOUR
33,2017-11-28,37.360684,-118.330783,236.066667,Degrees Compass,1 HOUR
34,2017-11-26,37.360684,-118.330783,284.454167,Degrees Compass,1 HOUR
35,2017-11-25,37.360684,-118.330783,268.25,Degrees Compass,1 HOUR
36,2017-11-24,37.360684,-118.330783,212.9,Degrees Compass,1 HOUR
37,2017-11-27,37.360684,-118.330783,290.908333,Degrees Compass,1 HOUR
