,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
0,2016-12-31,32.67618,-115.48307,2.316667,Knots,1 HOUR
1,2016-12-30,32.67618,-115.48307,1.454167,Knots,1 HOUR
2,2016-12-29,32.67618,-115.48307,1.833333,Knots,1 HOUR
3,2016-12-28,32.67618,-115.48307,1.841667,Knots,1 HOUR
4,2016-12-27,32.67618,-115.48307,2.958333,Knots,1 HOUR
5,2016-12-26,32.67618,-115.48307,3.058333,Knots,1 HOUR
6,2016-12-24,32.67618,-115.48307,6.7375,Knots,1 HOUR
7,2016-12-23,32.67618,-115.48307,2.3875,Knots,1 HOUR
8,2016-12-22,32.67618,-115.48307,1.875,Knots,1 HOUR
9,2016-12-25,32.67618,-115.48307,2.408333,Knots,1 HOUR
10,2016-12-21,32.67618,-115.48307,2.883333,Knots,1 HOUR
11,2016-12-20,32.67618,-115.48307,2.3,Knots,1 HOUR
12,2016-12-19,32.67618,-115.48307,4.091667,Knots,1 HOUR
13,2016-12-18,32.67618,-115.48307,3.254167,Knots,1 HOUR
14,2016-12-17,32.67618,-115.48307,4.916667,Knots,1 HOUR
15,2016-12-16,32.67618,-115.48307,7.258333,Knots,1 HOUR
16,2016-12-15,32.67618,-115.48307,1.047826,Knots,1 HOUR
17,2016-12-14,32.67618,-115.48307,1.033333,Knots,1 HOUR
18,2016-12-13,32.67618,-115.48307,1.204167,Knots,1 HOUR
19,2016-12-12,32.67618,-115.48307,0.8125,Knots,1 HOUR
20,2016-12-11,32.67618,-115.48307,1.466667,Knots,1 HOUR
21,2016-12-10,32.67618,-115.48307,0.983333,Knots,1 HOUR
22,2016-12-09,32.67618,-115.48307,1.429167,Knots,1 HOUR
23,2016-12-08,32.67618,-115.48307,1.054167,Knots,1 HOUR
24,2016-12-07,32.67618,-115.48307,2.85,Knots,1 HOUR
25,2016-12-06,32.67618,-115.48307,2.383333,Knots,1 HOUR
26,2016-12-05,32.67618,-115.48307,1.6125,Knots,1 HOUR
27,2016-12-04,32.67618,-115.48307,1.225,Knots,1 HOUR
28,2016-12-03,32.67618,-115.48307,7.720833,Knots,1 HOUR
29,2016-12-02,32.67618,-115.48307,6.320833,Knots,1 HOUR
30,2016-12-01,32.67618,-115.48307,1.3125,Knots,1 HOUR
31,2016-11-30,32.67618,-115.48307,1.783333,Knots,1 HOUR
32,2016-11-29,32.67618,-115.48307,2.470833,Knots,1 HOUR
33,2016-11-28,32.67618,-115.48307,4.65,Knots,1 HOUR
34,2016-11-27,32.67618,-115.48307,9.333333,Knots,1 HOUR
35,2016-11-26,32.67618,-115.48307,3.075,Knots,1 HOUR
36,2016-11-25,32.67618,-115.48307,2.270833,Knots,1 HOUR
37,2016-11-24,32.67618,-115.48307,3.4,Knots,1 HOUR
38,2016-11-23,32.67618,-115.48307,2.0375,Knots,1 HOUR
39,2016-11-22,32.67618,-115.48307,1.9875,Knots,1 HOUR
40,2016-11-21,32.67618,-115.48307,6.68,Knots,1 HOUR
41,2016-11-18,32.67618,-115.48307,2.058333,Knots,1 HOUR
42,2016-11-17,32.67618,-115.48307,4.716667,Knots,1 HOUR
43,2016-11-16,32.67618,-115.48307,3.541667,Knots,1 HOUR
44,2016-11-15,32.67618,-115.48307,1.111111,Knots,1 HOUR
45,2016-11-14,32.67618,-115.48307,1.866667,Knots,1 HOUR
46,2016-11-13,32.67618,-115.48307,1.995833,Knots,1 HOUR
47,2016-11-12,32.67618,-115.48307,1.7875,Knots,1 HOUR
48,2016-11-11,32.67618,-115.48307,1.508333,Knots,1 HOUR
49,2016-11-10,32.67618,-115.48307,1.4625,Knots,1 HOUR
50,2016-11-09,32.67618,-115.48307,1.675,Knots,1 HOUR
51,2016-11-08,32.67618,-115.48307,2.85,Knots,1 HOUR
52,2016-11-07,32.67618,-115.48307,1.591667,Knots,1 HOUR
53,2016-11-06,32.67618,-115.48307,1.695833,Knots,1 HOUR
54,2016-11-05,32.67618,-115.48307,1.216667,Knots,1 HOUR
55,2016-11-04,32.67618,-115.48307,1.141667,Knots,1 HOUR
56,2016-11-03,32.67618,-115.48307,3.6875,Knots,1 HOUR
57,2016-11-02,32.67618,-115.48307,4.475,Knots,1 HOUR
58,2016-11-01,32.67618,-115.48307,4.395833,Knots,1 HOUR
59,2016-10-31,32.67618,-115.48307,8.7,Knots,1 HOUR
60,2016-10-30,32.67618,-115.48307,4.25,Knots,1 HOUR
61,2016-10-29,32.67618,-115.48307,1.416667,Knots,1 HOUR
62,2016-10-28,32.67618,-115.48307,2.2,Knots,1 HOUR
63,2016-10-27,32.67618,-115.48307,1.5125,Knots,1 HOUR
64,2016-10-26,32.67618,-115.48307,1.6625,Knots,1 HOUR
65,2016-10-25,32.67618,-115.48307,1.8,Knots,1 HOUR
66,2016-10-24,32.67618,-115.48307,2.691667,Knots,1 HOUR
67,2016-10-23,32.67618,-115.48307,1.666667,Knots,1 HOUR
68,2016-10-22,32.67618,-115.48307,1.995833,Knots,1 HOUR
69,2016-10-21,32.67618,-115.48307,2.054167,Knots,1 HOUR
70,2016-10-20,32.67618,-115.48307,3.645833,Knots,1 HOUR
71,2016-10-18,32.67618,-115.48307,2.1375,Knots,1 HOUR
72,2016-10-17,32.67618,-115.48307,9.15,Knots,1 HOUR
73,2016-10-16,32.67618,-115.48307,5.033333,Knots,1 HOUR
74,2016-10-19,32.67618,-115.48307,3.279167,Knots,1 HOUR
75,2016-10-15,32.67618,-115.48307,3.175,Knots,1 HOUR
76,2016-10-14,32.67618,-115.48307,2.191667,Knots,1 HOUR
77,2016-10-13,32.67618,-115.48307,1.429167,Knots,1 HOUR
78,2016-10-12,32.67618,-115.48307,2.658333,Knots,1 HOUR
79,2016-10-11,32.67618,-115.48307,1.983333,Knots,1 HOUR
80,2016-10-10,32.67618,-115.48307,2.266667,Knots,1 HOUR
81,2016-10-09,32.67618,-115.48307,1.866667,Knots,1 HOUR
82,2016-10-08,32.67618,-115.48307,1.925,Knots,1 HOUR
83,2016-10-07,32.67618,-115.48307,2.7,Knots,1 HOUR
84,2016-10-06,32.67618,-115.48307,2.304167,Knots,1 HOUR
85,2016-10-05,32.67618,-115.48307,2.508333,Knots,1 HOUR
86,2016-10-03,32.67618,-115.48307,4.7375,Knots,1 HOUR
87,2016-10-02,32.67618,-115.48307,8.033333,Knots,1 HOUR
88,2016-10-01,32.67618,-115.48307,2.595833,Knots,1 HOUR
89,2016-10-04,32.67618,-115.48307,2.2125,Knots,1 HOUR
90,2016-09-30,32.67618,-115.48307,2.0375,Knots,1 HOUR
91,2016-09-29,32.67618,-115.48307,2.320833,Knots,1 HOUR
92,2016-09-28,32.67618,-115.48307,1.645833,Knots,1 HOUR
93,2016-09-27,32.67618,-115.48307,1.404167,Knots,1 HOUR
94,2016-09-26,32.67618,-115.48307,4.279167,Knots,1 HOUR
95,2016-09-25,32.67618,-115.48307,4.795833,Knots,1 HOUR
96,2016-09-24,32.67618,-115.48307,2.8625,Knots,1 HOUR
97,2016-09-23,32.67618,-115.48307,3.454167,Knots,1 HOUR
98,2016-09-22,32.67618,-115.48307,5.741667,Knots,1 HOUR
99,2016-09-21,32.67618,-115.48307,2.545833,Knots,1 HOUR
100,2016-09-20,32.67618,-115.48307,4.625,Knots,1 HOUR
101,2016-09-18,32.67618,-115.48307,1.6375,Knots,1 HOUR
102,2016-09-17,32.67618,-115.48307,1.7125,Knots,1 HOUR
103,2016-09-16,32.67618,-115.48307,1.554167,Knots,1 HOUR
104,2016-09-15,32.67618,-115.48307,1.966667,Knots,1 HOUR
105,2016-09-14,32.67618,-115.48307,2.504167,Knots,1 HOUR
106,2016-09-13,32.67618,-115.48307,6.329167,Knots,1 HOUR
107,2016-09-12,32.67618,-115.48307,4.133333,Knots,1 HOUR
108,2016-09-11,32.67618,-115.48307,3.604167,Knots,1 HOUR
109,2016-09-10,32.67618,-115.48307,2.691667,Knots,1 HOUR
